file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
757ee75b-674e-49a5-8ba0-cc1b574a51ae	31fa9bfd-dc91-4e27-be93-db7df8df2cd8.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50084	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
28a744f9-3ce6-41c9-9cd1-11b8f85a6f3e	TCGA-BRCA.70b9ece6-dedc-44c7-8f35-b78d9bac626e.absolute_liftover.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ABSOLUTE LiftOver	open	3429731	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
ead53b27-6ad9-4b96-b5d4-0d4f06fb2d13	dadd1789-354a-4abb-8d4e-8556166cf341.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4235051	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
a093c917-b6bc-40ad-af9b-e5cfd690b9f5	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A08_628448.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	4363	TCGA-A8-A09E	TCGA-A8-A09E-10A	Blood Derived Normal	Normal
7e8325fe-a684-4709-a3c2-baa5f94ed120	TCGA-BRCA.70b9ece6-dedc-44c7-8f35-b78d9bac626e.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3446217	TCGA-A8-A09E	TCGA-A8-A09E-10A	Blood Derived Normal	Normal
7e8325fe-a684-4709-a3c2-baa5f94ed120	TCGA-BRCA.70b9ece6-dedc-44c7-8f35-b78d9bac626e.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3446217	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
4f524b32-87ce-4766-9178-a1d3300fa864	TCGA-A8-A09E-01A-11D-A88Z-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	163879	TCGA-A8-A09E	TCGA-A8-A09E-10A	Blood Derived Normal	Normal
4f524b32-87ce-4766-9178-a1d3300fa864	TCGA-A8-A09E-01A-11D-A88Z-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	163879	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
caf40ac4-dcb7-4dd6-a067-9226c32ecea5	TCGA-BRCA.70b9ece6-dedc-44c7-8f35-b78d9bac626e.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3447455	TCGA-A8-A09E	TCGA-A8-A09E-10A	Blood Derived Normal	Normal
caf40ac4-dcb7-4dd6-a067-9226c32ecea5	TCGA-BRCA.70b9ece6-dedc-44c7-8f35-b78d9bac626e.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3447455	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
6d4ad0cc-ed9f-488b-af19-4d51c25c4452	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G09_628500.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	58036	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
0cda5d56-9580-4be9-8b4e-8db4f08c49de	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_G09_628500.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	32784	TCGA-A8-A09E	TCGA-A8-A09E-01A	Primary Tumor	Tumor
3dffb22b-ce7a-4009-8669-ce522d8268ad	HAULS_p_TCGAb47_SNP_2N_GenomeWideSNP_6_A08_628448.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	26025	TCGA-A8-A09E	TCGA-A8-A09E-10A	Blood Derived Normal	Normal
7b918c78-de35-4667-9e89-065bb020d9d5	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H08_628250.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	14211	TCGA-A7-A0DC	TCGA-A7-A0DC-01A	Primary Tumor	Tumor
0e1999e0-9c02-4804-88b6-60b46d100739	db5dab56-838e-4784-a7cf-f05296e356f7.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4250358	TCGA-A7-A0DC	TCGA-A7-A0DC-01A	Primary Tumor	Tumor
0c6dd343-cf69-4a93-a304-3afc9b287a5e	db537846-eb1b-4954-aa74-81afd11f694e.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50081	TCGA-A7-A0DC	TCGA-A7-A0DC-11A	Solid Tissue Normal	Normal
ac1f106c-9585-4da0-94f3-83ae2edb752d	MAPLE_p_TCGAb78_BrstRedo_SNP_N_GenomeWideSNP_6_F07_729628.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	6389	TCGA-A7-A0DC	TCGA-A7-A0DC-11A	Solid Tissue Normal	Normal
42f5cb5d-e3ad-47f5-a0f3-1811d66079a7	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H11_628226.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	38585	TCGA-A7-A0DC	TCGA-A7-A0DC-10A	Blood Derived Normal	Normal
9e056a2a-a643-478a-b96c-85d5221f487a	c6a90de3-979b-46b0-9f84-2875c1e38742.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4241593	TCGA-A7-A0DC	TCGA-A7-A0DC-11A	Solid Tissue Normal	Normal
3e8cff80-ed17-479c-8327-ca8e71ee7482	0c814cd9-5b2c-4764-9e6a-6ad0403fcd7d.rna_seq.augmented_star_gene_counts.tsv	Gene Expression Quantification	Transcriptome Profiling	TSV	RNA-Seq	STAR - Counts	open	4249009	TCGA-A7-A0DC	TCGA-A7-A0DC-01B	Primary Tumor	Tumor
fc2a3ea4-1f40-4b5d-b2af-624ef54dd658	CHILE_p_TCGASNP_230_231_FFPE_N_GenomeWideSNP_6_A10_1147968.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	128614	TCGA-A7-A0DC	TCGA-A7-A0DC-01B	Primary Tumor	Tumor
a335cf3e-1504-46c7-a130-628ef6b543aa	22ae1265-0ef4-439e-ab8a-46abd4c8f3b2.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50000	TCGA-A7-A0DC	TCGA-A7-A0DC-01A	Primary Tumor	Tumor
393acd3e-9b01-4a5d-af85-9029705b7ded	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H11_628226.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	3477	TCGA-A7-A0DC	TCGA-A7-A0DC-10A	Blood Derived Normal	Normal
215719cf-a02b-485c-9534-d99f663ec6dd	TCGA-BRCA.e781547e-415c-4656-b656-c1df8cc22fc3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446861	TCGA-A7-A0DC	TCGA-A7-A0DC-01B	Primary Tumor	Tumor
215719cf-a02b-485c-9534-d99f663ec6dd	TCGA-BRCA.e781547e-415c-4656-b656-c1df8cc22fc3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT2	open	3446861	TCGA-A7-A0DC	TCGA-A7-A0DC-10A	Blood Derived Normal	Normal
7d7504e2-feff-4953-af6b-4307094ba223	CUSKS_p_TCGAb47_SNP_1N_GenomeWideSNP_6_H08_628250.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	45262	TCGA-A7-A0DC	TCGA-A7-A0DC-01A	Primary Tumor	Tumor
