feature	nsre
ESR1	1.034264297068865
C6orf97	0.9569835661023157
FOXC1	0.9405123808618243
CA12	0.9231152277365346
THSD4	0.9075082932124575
AGR3	0.88731272424605
GPR77	0.8796581426856508
FSIP1	0.8391087757231759
NAT1	0.8343535268109461
SFRS13B	0.825939996832747
PPP1R14C	0.7990407590435571
BCL11A	0.7855576515952644
CENPA	0.7717915087120305
SFRP1	0.7633504499041338
AGR2	0.7627113952271111
MAPT	0.7493308930211876
AFF3	0.747843149337565
FLJ45983	0.7462920203947786
GDF5	0.7350199459960055
GREB1	0.7329733230579722
MIA	0.7199236098569509
SIDT1	0.7180456124389721
ERBB4	0.7167538293918044
ABCC11	0.716477863743592
SLC16A6	0.7161158885702577
TFF1	0.7148818237078628
SLC7A8	0.7098972042027976
CYP2B7P1	0.7073416567694085
PGR	0.7019794490125876
RERG	0.6941639840100043
ABAT	0.6926647959832914
SLC44A4	0.6893572401166624
RGS22	0.6847025725260797
C1orf64	0.6774471343704168
ZNF703	0.677080211340919
ABCC8	0.6762324762619479
SUSD3	0.674759427216435
KRT16	0.6731373219518294
CST9	0.6727775469902433
TTK	0.6718908911493443
TPX2	0.6692196063757235
CHODL	0.6684879361672271
TPSG1	0.6610952749428813
PM20D2	0.6608926843692083
NDC80	0.6531301954986072
MCM10	0.6508480705918659
CYP4Z2P	0.648440233517007
BCAS1	0.6441029204295862
IGF1R	0.6391402216326499
HPX	0.6315100079656452
KCNK5	0.6308723087239879
RND1	0.6307964286686657
A2ML1	0.6282488157490239
MAG	0.6227339495458815
BUB1	0.6221993124888149
ART3	0.6216234270702989
PTX3	0.6208107694881575
TFCP2L1	0.6205770703662247
CDCA7	0.6172675484781597
FAM64A	0.6092436429946035
ZNF454	0.6079199331422012
PGAP3	0.6025942918511965
BCL2	0.5978180529996124
AMY1A	0.5964951647863455
MAPK4	0.5933194722034493
DACH1	0.592685719945927
CCDC48	0.591793518663868
ERBB2	0.591074254801874
CPEB2	0.590105997563979
ROPN1B	0.5885890481959081
ANKRD30A	0.5881085243389736
EXO1	0.5877962063576158
BBS1	0.5851781452272232
GP2	0.5849362571967849
GSG2	0.5818653948617788
SYTL5	0.5809048201209918
ANLN	0.5786465270269874
FAM134B	0.57349468319208
OLAH	0.5730754210373487
SOX11	0.572443884887008
CAPN13	0.5688265227965638
F7	0.567800134926989
DLGAP5	0.5662239264046417
GPM6B	0.5624912645420576
IL12RB2	0.5613425704281398
BIRC5	0.5606751838526365
FAM83D	0.5590342458826009
KCNH1	0.5581887325998901
KRT37	0.5554649057940794
ITGB8	0.5543325924416852
GTSE1	0.5541870078624017
LOC100128977	0.5520465957544218
MID1	0.5518579539263525
ASPM	0.550695943106675
NCAPH	0.5501434627754656
PGLYRP2	0.5468894355419872
CAPN8	0.5452549901536531
MYBL2	0.5446881396933579
GPSM2	0.5408715832367175
LMO4	0.5400108485274949
CDH3	0.5380945688707549
ELF5	0.5379633171435501
UPF0639	0.5374055872837681
TMEM26	0.5372283933652399
CKS1B	0.5343322381426296
SLC6A2	0.5341125139320089
SERPINB5	0.5336749849007897
SYT9	0.530202242704603
CRIP1	0.5278873241710585
ADAMTS15	0.5278527816081126
EN1	0.5273977254018135
PDZK1	0.5266523791106411
ELOVL2	0.5260127378851917
CHAD	0.5254569040004538
ANKRD30B	0.525237833206539
FABP7	0.5247589246465141
IL20	0.5243613252102294
CHST3	0.5223354428959556
SCRG1	0.5220402374845213
SLC7A2	0.5202814229655016
CYP4B1	0.5186448576808181
UBE2C	0.5165224752639009
STMN1	0.5147322163102844
NOVA1	0.5127866760291596
IGFBP4	0.5106453624148242
GRIK3	0.5102471396175107
MAML2	0.5086943879297309
NEK5	0.508003499309072
DNAH7	0.5073772011942318
PDE9A	0.5058564504377302
UQCRHL	0.5043282415727318
BHLHE40	0.503074741738054
FAAH	0.5025761647995447
TMC4	0.5024730002891403
PTTG1	0.5007483972635031
ST8SIA1	0.49995801037800613
C8orf46	0.4998894696673389
SCNN1A	0.4995288011572274
FGFBP1	0.4992950869116432
KIF14	0.4985512639278735
BPI	0.4978458769252741
RARRES1	0.4974496126662901
NKAIN1	0.49711694353008573
CCDC74A	0.4970120444547291
STARD3	0.4954288878206568
IFT140	0.4951744056287983
CMYA5	0.4949561526422818
PIF1	0.49462950030805297
TTC7A	0.4937424539091469
MFSD2B	0.489516879934132
NUDT6	0.4890500577141319
KIF12	0.48844246911459427
SLC19A2	0.48819206313691893
GPR81	0.4877717745228783
LAD1	0.48652104114866473
OSR1	0.4861132501367318
KCNG1	0.48533621332382854
LEO1	0.48427970907992085
DSC3	0.48101586131700874
SERPINA5	0.48075362677026606
DEPDC1B	0.4806504660149042
NUP93	0.48063033001586897
SLC15A1	0.4780153932188244
NXPH3	0.47661932541563884
E2F2	0.47659111864797293
KCNJ3	0.47574288511309315
KIAA0020	0.4751754044809899
PLCH1	0.47491187195922907
TTYH1	0.47364034229419955
STOX2	0.47338229405015136
WNK4	0.4732309199011524
CHI3L2	0.47270162832704604
RET	0.4707667071978922
ZNF385A	0.4701039045890862
UBE2T	0.4695951743943305
KLK6	0.46886701083442744
RBM24	0.46820198140059005
STK32B	0.4674606770736309
CPA4	0.4668087323934839
GPRC5C	0.46663595184739853
ABLIM3	0.46558867661745323
CNTNAP3	0.4653875199995559
C1orf106	0.46510252663112167
SKP2	0.4639187601733617
ADCY1	0.46301120022065473
COL27A1	0.462831546116705
PRSS12	0.4614813918953324
SLC40A1	0.4611543921030745
RIMS4	0.4605844818686467
IRS1	0.4603239533817674
CXCL5	0.45923990085023414
CREB3L1	0.4586961706558282
ZIC1	0.4585411223303027
HRCT1	0.458501325490204
PFKP	0.4584542659791399
PROM1	0.4577126117893772
ATP13A5	0.45750918348981445
NRTN	0.4571347911502189
CNTD1	0.45451837024220626
LOC285629	0.45373401288713117
AGTR1	0.4527882268987535
C10orf90	0.45130901755937614
FBXL17	0.45092776923577005
KCND3	0.4502710959807655
LOC150622	0.4500317944671641
GINS1	0.4499895209310029
PPM1J	0.4494238602194369
KHDRBS3	0.44940349580890154
KRT5	0.44913530633562093
RTN4RL1	0.44913052436103235
AKR1E2	0.4470467116231676
TPBG	0.4463506204439711
CDKN3	0.4459901382114329
LOC284276	0.44571476268596094
KLF5	0.44502280600582056
PLA2G10	0.4446134582172147
GPR125	0.4439109919630919
HRASLS	0.4429692831200414
SHCBP1	0.4428457773717252
FRMD3	0.44247559228231825
LRRC31	0.44194166367122606
IL22RA2	0.44147614705651766
SLC46A1	0.4368605038532419
RHCG	0.4368326603289964
CYP39A1	0.43651916119934553
MEGF9	0.4365175128370498
OTX1	0.4355865521711903
ITPR1	0.43557178344556324
G6PD	0.4342076653234785
CDKN2A	0.4334700716829755
KRT17	0.43323158990090843
RSPH1	0.43259607698981983
SMOC1	0.43234796131410874
RCOR2	0.4310726787223052
C10orf116	0.4309445791583049
NUDT8	0.4301021870200081
GAL	0.429678271423887
GPR126	0.42824299588683096
PRR11	0.4277053339740225
PHOSPHO2	0.42648287598974766
AAGAB	0.42588587019893037
C1orf173	0.42470725053986397
SLC16A10	0.4231758553724733
YPEL2	0.42267146890743695
CHST4	0.42258483423710413
CHST2	0.4223487494360528
NCAM2	0.42183166946870404
LCT	0.4209809473399307
EPR1	0.42079062583735016
MPP2	0.4203365271262927
MATN3	0.41995680850186745
GHDC	0.4190719585627334
