feature	jsd
C6orf223	0.3488272638920653
SLC6A17	0.3419998852773347
GPR3	0.3332909534918915
FOLH1	0.3871333282455917
NUDT6	0.4890500577141319
SOX11	0.572443884887008
LOC150622	0.4500317944671641
ISL2	0.4096261924675461
NUDT8	0.4301021870200081
MPP2	0.4203365271262927
C14orf115	0.206656126084247
GPRC5A	0.2917483877329747
CHN2	0.3632439350298038
TRERF1	0.3495487785065208
NCAM2	0.421831669468704
CST2	0.352850799069679
PLAT	0.3466894147380707
LOC283174	0.2969521353750826
FBXO15	0.3815163192229894
FLJ36777	0.2960502737113509
PHYHD1	0.3167103507724746
C10orf93	0.3192472666806936
ULK4	0.3043205991006061
IFT88	0.3520263110596729
FANK1	0.3426330670397092
RSPH1	0.4325960769898198
DNAH7	0.5073772011942318
XPC	0.3797366906223714
TCP1	0.2955020602453754
STARD13	0.2812270987402225
SLC40A1	0.4611543921030745
NAV3	0.349282275914154
CPA3	0.4070999012871762
MATN3	0.4199568085018674
KERA	0.4142801066379974
OGN	0.3170158113519959
ATP1A2	0.3426379440879202
ZBTB16	0.3125024980604792
SMC1B	0.3761714181552693
TCAM1P	0.3530458682946742
PNP	0.3132921612564682
LOC339674	0.3722107999549038
SEPT3	0.3394482949428683
GPR19	0.355272229810952
WDR67	0.3273116249452096
SKP2	0.4639187601733617
CDCA7	0.6172675484781597
E2F7	0.2742181813611681
GPSM2	0.5408715832367175
ARHGAP11B	0.2897029470634428
PRR11	0.4277053339740225
CCDC150	0.3919160969154652
PIF1	0.4946295003080529
C15orf23	0.4184976850286879
EPR1	0.4207906258373501
SHCBP1	0.4428457773717252
SPAG5	0.3922875054691332
GINS1	0.4499895209310029
E2F8	0.4033509333315217
E2F2	0.4765911186479729
UBE2T	0.4695951743943305
GSG2	0.5818653948617788
SPC25	0.3449571781292666
GTSE1	0.5541870078624017
FAM64A	0.6092436429946035
BIRC5	0.5606751838526365
UBE2C	0.5165224752639009
MYBL2	0.5446881396933579
PTTG1	0.5007483972635031
CDKN3	0.4459901382114329
ESPL1	0.3749788878488125
ANLN	0.5786465270269874
NDC80	0.6531301954986072
KIF14	0.4985512639278735
ASPM	0.550695943106675
DEPDC1B	0.4806504660149042
MCM10	0.6508480705918659
EXO1	0.5877962063576158
FAM83D	0.5590342458826009
TTK	0.6718908911493443
TPX2	0.6692196063757235
CENPA	0.7717915087120305
DLGAP5	0.5662239264046417
NCAPH	0.5501434627754656
BUB1	0.6221993124888149
CKS1B	0.5343322381426296
STMN1	0.5147322163102844
ATP1A4	0.3805205767405863
PPP1R3C	0.362397775225804
STON2	0.3182406209404698
KIAA1377	0.3293361878061028
YPEL2	0.4226714689074369
EPB41L4A	0.321399524263962
ANKRD30B	0.525237833206539
ANKRD30A	0.5881085243389736
MEGF9	0.4365175128370498
MPP7	0.3508139340128851
XPNPEP1	0.3618516471138883
PCSK6	0.4027290996963868
KCNJ3	0.4757428851130931
AGTR1	0.4527882268987535
C15orf59	0.3546572568063231
KIAA0020	0.4751754044809899
GPRC5C	0.4666359518473985
EEF1A2	0.3683041468750185
BAI2	0.3727908263161533
C20orf114	0.3652049096402037
PLA2G10	0.4446134582172147
SERPINA5	0.480753626770266
RET	0.4707667071978922
PKIB	0.3366535067310932
SLC27A2	0.3591439260972492
KCNH1	0.5581887325998901
TPBG	0.4463506204439711
IRS1	0.4603239533817674
IGF1R	0.6391402216326499
LPPR3	0.4073109231263523
ADCY1	0.4630112002206547
GRIK3	0.5102471396175107
SLC7A2	0.5202814229655016
IL20	0.5243613252102294
NKAIN1	0.4971169435300857
RIMS4	0.4605844818686467
RBM24	0.46820198140059
ELOVL2	0.5260127378851917
DOK7	0.381294327198417
CCDC74A	0.4970120444547291
CHAD	0.5254569040004538
IGFBP4	0.5106453624148242
FAM176B	0.3635059037247259
C1orf173	0.4247072505398639
TMEM26	0.5372283933652399
LOC100128977	0.5520465957544218
MAPT	0.7493308930211876
SUSD3	0.674759427216435
PGR	0.7019794490125876
GREB1	0.7329733230579722
PGLYRP2	0.5468894355419872
PDZK1	0.5266523791106411
SLC36A4	0.3450789209965172
TMC4	0.5024730002891403
HPN	0.3037622012453762
TPSG1	0.6610952749428813
PPM1J	0.4494238602194369
IFT140	0.4951744056287983
BAIAP3	0.3904028891296989
KIF12	0.4884424691145942
FRAT1	0.3674801978842206
FAAH	0.5025761647995447
GHDC	0.4190719585627334
FAM134C	0.381331045227133
CNTD1	0.4545183702422062
WNK4	0.4732309199011524
MDP1	0.3884636550907046
TCEAL6	0.396645067932184
KIAA1984	0.3739512410213714
SLC16A1	0.3374579782785019
RDH10	0.3115275221309377
PLCH1	0.474911871959229
ELF5	0.5379633171435501
GPR126	0.4282429958868309
IGBP1	0.3946165924689078
LOC284276	0.4457147626859609
LAD1	0.4865210411486647
C1orf106	0.4651025266311216
LYPD6	0.4058844201768849
STK32B	0.4674606770736309
NOVA1	0.5127866760291596
NXPH3	0.4766193254156388
CST9	0.6727775469902433
AKR1E2	0.4470467116231676
LCT	0.4209809473399307
MARCO	0.3473996938462331
