feature	nsre
TMEM167A	0.4024961111853668
RASGRF2	0.3907672297039553
MIR548P	0.37547609975401164
FAM174A	0.3746112021055237
IKZF3	0.33366312394792624
MIEN1	0.32036025922558165
MIR4728	0.32036025922558165
PPP1R1B	0.3031326936526337
PNMT	0.30182283833414997
ZPBP2	0.28444289461508476
CDK12	0.2835210030039684
GZMK	0.28240301902114934
ESM1	0.2820735093992674
OR6C3	0.2793384884497216
OR6C1	0.2793384884497216
OR6C75	0.2701013868894606
CD300LG	0.26697083966235025
TMEM198B	0.2567644402489713
SLIT3	0.2559814553065564
MEIS1	0.25543082027332903
KPNB1	0.24090361305646377
FOXA1	0.23843957180298078
ACYP2	0.23832231203472465
SNORA42|ENSG00000200385.1	0.23783292487905217
SPTSSA	0.23780909970520367
HIVEP3	0.2354409114347713
EAPP	0.23387070736977264
LBH	0.2194900893249153
SNF8	0.21847560251887746
FOSL2	0.21792148734169636
KCNF1	0.21615030261237167
EPHA10	0.2117947825631198
PPAP2B	0.20316817034730503
KCMF1	0.20039588692192822
FAM208B	0.19528018882940654
CLRN1	0.17201505764346456
SELT	0.17048546832055825
TM4SF1	0.16705669266857137
LGR5	0.164830980262938
LINC00504	0.1546605790727753
ZFPM1	0.1417156596070739
CREBBP	0.1404356052959037
BANP	0.13820423028942722
MIR3686	0.12718668618767573
PVT1	0.12251972053860545
DEPTOR	0.12042852637414557
ATP5D	0.11931598957590069
RN7SKP206	0.11881405123907224
COLEC10	0.11708852972479133
SNORD33|ENSG00000252022.1	0.11175151031233967
