feature	nsre
ZIC2	0.0752426459356437
IGJ	0.07293326698099119
CDCA7	0.06971660901337162
CXCL9	0.06931734415670616
TCN1	0.0683506771883877
L1CAM	0.06752994924695724
CST1	0.06682755845382227
CST4	0.06610472396051639
ENTPD8	0.06567926102753674
APOD	0.06266035930553214
NXNL2	0.062212426742879225
TAT	0.06165555104428811
CYP4F12	0.059175506160478106
WDR72	0.05904899594570619
DOK7	0.057929925476391
TFF1	0.05756694338889186
SLC27A2	0.057359794784859294
GZMB	0.056732678500809694
SERPINA3	0.05604273783807329
MLPH	0.05519749051938634
GPM6A	0.05459026687067748
C6orf141	0.05456841143504562
NCCRP1	0.054243216694960274
ELOVL2	0.05275080885793999
PLIN5	0.05262242017663253
C8orf84	0.05170411406720307
MS4A1	0.05167544956397724
PAX7	0.05149444185614345
SYT1	0.05119912908664843
BLK	0.050784440697948255
CYP4F11	0.05038820893485339
TNNI3	0.05001084990422407
C2orf82	0.049111087005363235
IDO1	0.047881738276366284
SLC7A4	0.047748590173808864
MYEOV	0.047626545337184106
CHAD	0.0475755523848075
TNN	0.04702733844693037
ZNF385B	0.0470080956978859
TFPI2	0.04693911095137277
PLA2G2D	0.046839783651903305
TTC36	0.04638792814064292
SLC44A4	0.04590238021393139
SERPINA11	0.04521136244852372
IVL	0.045164724636809137
CD1A	0.04503418513701597
CAMK2B	0.0444262753131398
SCUBE2	0.044095040515822394
HPN	0.04369365651200793
CLEC10A	0.0436390031101681
C1orf168	0.04357473842357394
CDH7	0.0435186570938477
PLCH1	0.04312852511267656
C1orf173	0.04299146876878889
CLIC6	0.04292686983226516
FOXJ1	0.042783634702047435
PIGR	0.04271217778606496
CST2	0.04253298493915851
PXDNL	0.042111666730591524
C2orf40	0.042094064447989715
FABP7	0.04188668564635198
CYP24A1	0.04188086616971204
PDZK1	0.0416066417422839
B4GALNT2	0.04146200941611278
IGFALS	0.04121434027828924
DNAH11	0.041107968080531763
EMX1	0.040575903215007064
NPY1R	0.040268612830040185
FUT3	0.040025984287179794
COL9A3	0.03985775642186411
ALOX15	0.039788978836610436
LRP1B	0.0397752213851198
GLB1L2	0.03971083331778621
CWH43	0.039569515568229914
KLHDC7B	0.03912901755199376
NEK10	0.038991250999412516
ALOX15B	0.03891792617047961
KRT15	0.03859823864134749
CD79A	0.03827515624119879
S100B	0.03784627570771981
MIA	0.03748801506505413
CES1	0.037426877276955275
KRT6B	0.03742082025197027
ACTL8	0.03732573123547498
PSCA	0.03727019752499129
CFB	0.03701161181796518
TP63	0.03649666706600071
RP1	0.03629272364116834
POU2AF1	0.03619475532457066
LOC100130148	0.03619265583711442
COL17A1	0.03596474614958077
FCRL5	0.035841166595252036
SCNN1B	0.035761742809342134
SLC1A1	0.03572630805091443
CD19	0.035697475719012633
CHIT1	0.03556329990423513
ROPN1B	0.0354912223826129
CPA4	0.03537645724134385
CLGN	0.035349446613108126
LOC100128977	0.03523228590623414
CHST9	0.0351400478760747
KCNK1	0.03452353674509799
BEX1	0.03451946888989241
CHRNA9	0.03423378695254676
SUSD3	0.03422212530106738
PHGR1	0.03413959754185398
HDC	0.034055620973142506
CAPN8	0.033812693336651434
STC2	0.03340004429318996
UPF0639	0.03294647378147253
LAMC2	0.03290849325457201
PLA2G10	0.03278947464151544
SLC4A10	0.03265475285121952
VWA2	0.03259272246866892
SLC28A3	0.032575037538723005
NKAIN1	0.03241898804099853
WDR17	0.032153807773378396
TNFRSF17	0.03202697917189048
GLRA3	0.031612585813835484
GSDMC	0.031604350093034334
DAPL1	0.031526893697258696
CRISP3	0.031434750114421255
UBD	0.03139462256020842
IYD	0.031308959399065056
P2RY11	0.030929312694352992
CCNO	0.030491292882552767
LOC96610	0.030309559367102685
WNK4	0.030020206306867567
KIAA0125	0.029979551327180578
NME5	0.029979322236234722
FCRL3	0.029868821730226376
KRT14	0.02966185204444425
SP5	0.029568053504066785
TUBA3E	0.0293572478360031
LTB	0.02930965951612067
ZMYND10	0.029024751121196245
CLEC3A	0.028845611663040012
GZMK	0.028338887889617123
ADCY1	0.027864232125978494
CHRM1	0.027805886759962165
ADAM6	0.027616052505302312
TPRG1	0.027488291817526166
ANXA8L2	0.02710235384192662
TOX3	0.026907236807725155
KRT17	0.026874164138989732
CXCL1	0.026809922089136407
SERPINA5	0.026767704712631346
SYT8	0.026276706059058484
IGSF1	0.026072941485317157
WT1	0.02602667830261568
RBP4	0.025993987386597573
GNG4	0.025977926676988686
MGC29506	0.025926720244012345
C4BPA	0.025669130970133833
ECEL1	0.025647847830484738
RGS22	0.02557348724754409
CXCL13	0.025416634484981403
CALML3	0.025289024713249904
KCNK15	0.025215911360161564
TUBA3D	0.025139684202955252
TUBB2B	0.02508961197570765
CCL19	0.02500571649644308
DLGAP1	0.024963192248668678
PEG3	0.024707575818641775
CHGA	0.024542853655571115
FABP6	0.024488494283057986
MLC1	0.024390273019987273
SOX11	0.02400897241779508
PTPRZ1	0.02380915172259304
CD38	0.023628921022544914
MGAM	0.02360135375354551
FGFBP1	0.023206530236859632
GREB1L	0.023069134767914265
FLT3	0.02294369363127736
TTYH1	0.022789054126590498
KCNJ3	0.022473362732306424
LRRN1	0.022116221185452603
KRT5	0.022014277890298573
CD207	0.021881129364929683
LOC728606	0.02170699684043883
GLYATL2	0.021505800642489352
GP2	0.02131587046136063
ORM2	0.020772164993092465
CDH19	0.020521639132324798
CASP14	0.0199777337243238
CGA	0.019922424479725406
SPINK8	0.01900555511151518
COCH	0.018855531711921697
HOXC13	0.01777466500788854
PRAME	0.017748845698863494
LOC100271831	0.01772101979911351
PCDHGB1	0.017367820928137455
MMP12	0.01645608048144906
KCNH1	0.016450676710387628
PCSK2	0.016054959972386346
DCD	0.014880455527924113
C20orf85	0.013978424587948313
FGFR3	0.013317694959015212
SPDYC	0.01146810461724993
MCCD1	0.010341600870240579
