gene	shap_rank	cnn_rank	mean_rank
TCAM1P	13.0	1.0	7.0
MIA	6.0	15.0	10.5
SMC1B	18.0	6.0	12.0
PPP1R14C	7.0	45.0	26.0
KLK6	15.0	41.0	28.0
SLC6A11	37.0	29.0	33.0
SLC15A1	23.0	44.0	33.5
FABP7	16.0	53.0	34.5
FOXC1	24.0	52.0	38.0
KCNJ3	5.0	75.0	40.0
FAM131C	66.0	18.0	42.0
IL1RL2	85.0	4.0	44.5
DSC3	51.0	43.0	47.0
TLX1	82.0	12.0	47.0
MAPK4	46.0	48.0	47.0
CYP2B7P1	1.0	111.0	56.0
KRT6C	92.0	21.0	56.5
STAC2	8.0	109.0	58.5
BPI	105.0	13.0	59.0
CST9	27.0	96.0	61.5
ATP10B	95.0	31.0	63.0
PLA2G10	35.0	92.0	63.5
FGFBP1	110.0	19.0	64.5
OGN	54.0	76.0	65.0
KRT17	32.0	98.0	65.0
LCT	124.0	9.0	66.5
C10orf90	129.0	5.0	67.0
FLJ45983	38.0	97.0	67.5
MYBL2	80.0	57.0	68.5
MAG	41.0	99.0	70.0
SYT8	48.0	93.0	70.5
CCDC150	134.0	11.0	72.5
E2F8	119.0	28.0	73.5
HSD17B2	45.0	104.0	74.5
KCNH1	64.0	86.0	75.0
ZBTB16	126.0	27.0	76.5
PGR	43.0	112.0	77.5
ESR1	9.0	148.0	78.5
NAV3	77.0	80.0	78.5
OSR1	87.0	72.0	79.5
GPR19	148.0	17.0	82.5
AMY1A	71.0	95.0	83.0
BIRC5	136.0	37.0	86.5
MAPT	59.0	116.0	87.5
TPSG1	86.0	89.0	87.5
FSD1	164.0	16.0	90.0
PTX3	131.0	50.0	90.5
AQP5	12.0	169.0	90.5
ANKRD30A	29.0	153.0	91.0
C1orf173	79.0	106.0	92.5
GAL	19.0	168.0	93.5
SYTL5	49.0	143.0	96.0
TGFA	125.0	69.0	97.0
ATP13A5	11.0	185.0	98.0
LOC100128977	193.0	7.0	100.0
EXO1	166.0	34.0	100.0
KIF12	70.0	135.0	102.5
C6orf15	186.0	20.0	103.0
ARHGAP11B	171.0	36.0	103.5
KCNG1	72.0	136.0	104.0
CNTNAP3	122.0	88.0	105.0
ASPM	146.0	65.0	105.5
C6orf223	168.0	47.0	107.5
DEPDC1B	173.0	42.0	107.5
PDZK1	58.0	157.0	107.5
LOC150622	52.0	163.0	107.5
UBE2C	153.0	63.0	108.0
CHAD	10.0	208.0	109.0
KIF14	194.0	24.0	109.0
CDCA7	158.0	61.0	109.5
HRCT1	143.0	77.0	110.0
MT1H	202.0	22.0	112.0
SOX11	47.0	180.0	113.5
MSLN	133.0	94.0	113.5
PCDHB9	188.0	40.0	114.0
ADCY1	111.0	119.0	115.0
ANKRD30B	36.0	196.0	116.0
SEC14L4	225.0	8.0	116.5
TTK	208.0	26.0	117.0
E2F7	184.0	55.0	119.5
COL9A3	100.0	139.0	119.5
LOC339674	236.0	3.0	119.5
FAM83D	207.0	33.0	120.0
BUB1	201.0	39.0	120.0
SFRP1	40.0	200.0	120.0
TMEM26	76.0	165.0	120.5
CXCL5	169.0	73.0	121.0
SLC6A15	161.0	83.0	122.0
AGR2	91.0	154.0	122.5
PIF1	189.0	56.0	122.5
SLC44A4	26.0	220.0	123.0
TFF1	2.0	244.0	123.0
PIP	44.0	202.0	123.0
KRT86	177.0	71.0	124.0
DEFB1	68.0	181.0	124.5
MFSD7	149.0	103.0	126.0
WNK4	30.0	223.0	126.5
FAM150B	231.0	23.0	127.0
CXCL1	89.0	167.0	128.0
LOC284276	102.0	156.0	129.0
ERBB4	17.0	241.0	129.0
C1orf64	3.0	256.0	129.5
NDC80	151.0	108.0	129.5
IL20	31.0	228.0	129.5
MARCO	57.0	203.0	130.0
DLGAP5	191.0	70.0	130.5
TMEM158	69.0	193.0	131.0
SFRS13B	227.0	35.0	131.0
IL22RA2	199.0	64.0	131.5
SLC6A2	245.0	25.0	135.0
CHI3L2	53.0	217.0	135.0
CDH19	187.0	84.0	135.5
SULT2B1	101.0	173.0	137.0
RBM24	145.0	129.0	137.0
PHYHD1	93.0	182.0	137.5
ESPL1	155.0	120.0	137.5
UPF0639	141.0	137.0	139.0
SCRG1	196.0	82.0	139.0
FBXO15	174.0	105.0	139.5
CDKN3	214.0	66.0	140.0
MCM10	235.0	46.0	140.5
CST2	142.0	142.0	142.0
FAM64A	252.0	38.0	145.0
NCAPH	220.0	74.0	147.0
SLC7A2	21.0	274.0	147.5
PLAT	117.0	178.0	147.5
FAM176B	195.0	101.0	148.0
ITGB8	67.0	231.0	149.0
ABCC11	34.0	267.0	150.5
ANLN	190.0	114.0	152.0
OLAH	295.0	10.0	152.5
SCEL	256.0	49.0	152.5
LRRC31	60.0	247.0	153.5
PGLYRP4	216.0	91.0	153.5
FRMD3	218.0	90.0	154.0
SPC25	277.0	32.0	154.5
CHODL	172.0	138.0	155.0
SLC39A12	280.0	30.0	155.0
DNER	123.0	188.0	155.5
HRASLS	83.0	230.0	156.5
CACNG1	88.0	226.0	157.0
C20orf114	22.0	293.0	157.5
FBN3	144.0	171.0	157.5
CAPN9	65.0	251.0	158.0
ART3	90.0	229.0	159.5
GREB1	115.0	204.0	159.5
C6orf97	56.0	264.0	160.0
TPX2	197.0	126.0	161.5
GPR126	118.0	205.0	161.5
GDF5	255.0	68.0	161.5
COL27A1	238.0	87.0	162.5
F7	61.0	265.0	163.0
LOC285629	313.0	14.0	163.5
EPR1	120.0	209.0	164.5
SHCBP1	270.0	62.0	166.0
ROPN1B	98.0	235.0	166.5
AFF3	55.0	280.0	167.5
BAIAP3	205.0	130.0	167.5
A2ML1	183.0	152.0	167.5
CYP4B1	33.0	303.0	168.0
PRR11	178.0	158.0	168.0
SPAG5	222.0	115.0	168.5
LPPR3	113.0	225.0	169.0
PNMA3	221.0	117.0	169.0
C10orf93	162.0	176.0	169.0
E2F2	232.0	107.0	169.5
PRSS12	273.0	67.0	170.0
CHST4	281.0	60.0	170.5
RAB19	257.0	85.0	171.0
CDH3	107.0	236.0	171.5
RHCG	198.0	145.0	171.5
CAMKV	343.0	2.0	172.5
ELOVL2	25.0	322.0	173.5
CYP21A2	114.0	234.0	174.0
C8orf46	139.0	213.0	176.0
MATN3	209.0	144.0	176.5
AGR3	4.0	354.0	179.0
ERBB2	165.0	194.0	179.5
DACH1	14.0	346.0	180.0
GP2	28.0	333.0	180.5
LRG1	74.0	287.0	180.5
STK32B	240.0	124.0	182.0
NOVA1	96.0	269.0	182.5
GTSE1	215.0	151.0	183.0
STOX2	213.0	155.0	184.0
FLJ36777	316.0	54.0	185.0
GSG2	274.0	100.0	187.0
ABCC8	63.0	315.0	189.0
CCKBR	300.0	79.0	189.5
PDE9A	248.0	131.0	189.5
NRTN	278.0	102.0	190.0
NCAM2	170.0	212.0	191.0
IL12RB2	223.0	160.0	191.5
CNGB1	334.0	51.0	192.5
C15orf59	253.0	133.0	193.0
SLC27A2	99.0	288.0	193.5
KLF5	62.0	327.0	194.5
SEPT3	152.0	237.0	194.5
RND1	219.0	172.0	195.5
KHDRBS3	282.0	110.0	196.0
RET	42.0	351.0	196.5
SOX6	312.0	81.0	196.5
AKR1E2	272.0	122.0	197.0
CNTD1	233.0	161.0	197.0
SMOC1	135.0	260.0	197.5
AGTR1	185.0	211.0	198.0
FFAR2	275.0	125.0	200.0
SLC6A17	204.0	197.0	200.5
KRT16	84.0	317.0	200.5
EPB41L4A	251.0	150.0	200.5
ELF5	20.0	382.0	201.0
PTTG1	228.0	175.0	201.5
IGF1R	210.0	195.0	202.5
SH3GL3	284.0	121.0	202.5
C6orf218	266.0	140.0	203.0
RGS22	175.0	232.0	203.5
CDKN2A	154.0	255.0	204.5
BCL11A	104.0	307.0	205.5
CYP4Z2P	50.0	362.0	206.0
C1orf106	150.0	263.0	206.5
GPR3	336.0	78.0	207.0
SERPINA5	78.0	344.0	211.0
CXorf61	249.0	174.0	211.5
FSIP1	200.0	224.0	212.0
MID1	293.0	132.0	212.5
CPA3	180.0	245.0	212.5
KIF13B	303.0	123.0	213.0
ABLIM3	250.0	177.0	213.5
CAPN8	39.0	389.0	214.0
KCND3	138.0	291.0	214.5
NEK5	304.0	127.0	215.5
LIN28B	373.0	59.0	216.0
ADAMTS15	241.0	191.0	216.0
SLC34A2	81.0	355.0	218.0
CA12	75.0	363.0	219.0
C14orf115	380.0	58.0	219.0
BCAS1	137.0	301.0	219.0
SERPINB5	157.0	284.0	220.5
HPX	109.0	332.0	220.5
