source	term_id	term_name	p_value	term_size	intersection_size	genes
GO:BP	GO:0030855	epithelial cell differentiation	4.320816088730658e-06	745	22	ISS;ISS;IEA;IBA;IBA;IEA;ISS;IBA;IEA;IMP;IMP;IEA;IEA;IEA;IMP;IEA;IBA;IMP;ISS;ISS;IEA;IBA;NAS;IMP;IEA;TAS;IEA
GO:BP	GO:0060429	epithelium development	8.159328352480977e-06	1234	28	ISS;ISS;IEA;IBA;IEA;ISS;IBA;IEA;ISS;IBA;IEA;IMP;ISS;IEA;IMP;IEA;ISS;IEA;IEA;ISS;IEA;IMP;IEA;IBA;IMP;ISS;ISS;IEA;IEA;IBA;NAS;IMP;IBA;IEA;TAS;IEA;IEA
GO:BP	GO:0009888	tissue development	1.974650968207142e-05	2014	36	ISS;IEA;ISS;ISS;IEA;IBA;IEA;ISS;IBA;IEA;ISS;IBA;IEA;IEP;IMP;ISS;IEA;IMP;IEA;ISS;IEA;IEA;IEA;ISS;IEA;ISS;IEA;IMP;IDA;IMP;IEA;IBA;IMP;ISS;ISS;IEA;IEA;IEA;IBA;IDA;NAS;IMP;IBA;IEA;TAS;IEA;IEA
KEGG	KEGG:04915	Estrogen signaling pathway	0.00015061814413049393	138	9	KEGG;KEGG;KEGG;KEGG;KEGG;KEGG;KEGG;KEGG;KEGG
GO:BP	GO:0009653	anatomical structure morphogenesis	0.009195616383439758	2699	37	ISS;IEA;ISS;NAS;IEA;IMP;IEA;IEA;ISS;IEA;ISS;IEA;IEP;IMP;ISS;IBA;IEA;ISS;IEA;ISS;IEA;IMP;IEA;IEA;IEA;ISS;IEA;IMP;IEA;IEA;IBA;IEA;IMP;ISS;IBA;ISS;ISS;IBA;IEA;IEA;IEA;IEA;IBA;IBA;IMP;ISS;IMP;IEA;IDA;IEA;IBA;IGI;IDA;IEA;IEA;IEA
GO:BP	GO:0009913	epidermal cell differentiation	0.010251341987666066	254	10	IEA;ISS;IEA;IMP;IMP;IMP;IBA;ISS;IBA;IMP;TAS
GO:BP	GO:0032501	multicellular organismal process	0.020584345415886517	7337	72	IEA;IMP;IBA;IDA;ISS;IEA;NAS;ISS;IDA;IMP;IDA;ISS;IBA;TAS;ISS;IEA;IBA;NAS;IEA;TAS;IMP;ISS;IEA;IEA;ISS;IEA;IDA;ISS;IEA;IEP;TAS;IDA;IMP;ISS;IEA;IMP;IEA;ISS;IEA;ISS;IEA;ISS;IEA;ISS;IEA;IBA;IEA;TAS;IEA;IMP;IEA;NAS;IEA;IEA;IEA;ISS;IEA;IMP;TAS;IEA;IDA;TAS;IEA;ISS;IBA;IEA;IEA;IEA;TAS;IEA;IEA;IMP;ISS;IBA;IBA;TAS;IEA;IMP;ISS;IBA;ISS;TAS;IEA;IMP;IEP;ISS;IBA;IEA;IEA;IEA;IDA;IEA;ISS;NAS;IEA;IDA;IBA;IEP;NAS;IEA;IBA;IEA;IBA;IEA;IMP;IEA;TAS;IEA;TAS;IDA;IMP;ISS;IBA;IMP;IEA;TAS;IEA;IDA;NAS;IEA;IDA;ISS;IEA;ISS;IDA;IMP;IGI;NAS;IC;IEA;IDA;IMP;IEA;IEA;IEA;ISS;TAS;NAS;IEA;IEP
GO:BP	GO:0048856	anatomical structure development	0.021806624057069863	5948	62	IDA;ISS;IEA;ISS;IDA;IDA;ISS;IBA;TAS;IBA;NAS;IEA;TAS;IMP;ISS;IEA;IBA;IEA;ISS;IBA;IEA;ISS;IBA;IEA;IEP;TAS;IDA;IMP;ISS;IBA;IEA;IMP;ISS;IEA;ISS;IEA;IBA;IEA;TAS;IEA;IMP;IEA;IEA;IEA;IMP;ISS;IBA;IEA;ISS;IEA;IMP;TAS;IEA;IDA;TAS;IEA;IMP;ISS;IBA;IEA;IEA;TAS;IEA;IEA;IBA;IBA;TAS;IEA;IMP;ISS;IBA;ISS;IMP;IEP;ISS;IBA;IEA;IEA;IEA;ISS;IBA;IEA;ISS;IEA;IEP;NAS;IEA;IBA;IEA;IMP;IDA;IEA;NAS;IMP;IBA;IBA;TAS;IEA;IDA;IMP;ISS;IBA;IMP;IEA;TAS;IEA;IDA;IEA;IBA;IMP;IGI;IDA;IEA;IEA;IEA;IEP
GO:BP	GO:0032502	developmental process	0.026618934606311116	6535	66	IDA;ISS;IEA;IEA;ISS;IDA;IDA;ISS;IBA;TAS;TAS;IBA;NAS;IEA;TAS;IMP;ISS;IEA;IBA;IEA;ISS;IBA;IEA;ISS;IBA;IEA;IEP;TAS;IDA;IMP;ISS;IBA;IEA;IMP;ISS;IEA;ISS;IEA;IBA;IEA;TAS;IEA;IMP;IEA;IEA;IEA;IMP;ISS;IBA;IEA;ISS;IEA;IMP;TAS;IEA;IDA;TAS;IEA;IMP;ISS;IBA;IEA;IEA;TAS;IEA;IEA;IBA;IBA;TAS;IEA;IMP;ISS;IBA;ISS;IMP;IEP;ISS;IBA;IEA;IEA;IEA;ISS;IBA;NAS;IEA;ISS;IEA;IEP;NAS;IEA;IBA;IEA;IMP;IDA;IEA;NAS;IEA;IMP;IBA;IBA;TAS;IEA;IDA;IMP;ISS;IBA;IMP;IEA;TAS;IEA;IDA;IEA;IBA;IMP;IGI;IDA;IC;IEA;IEA;IEA;IEP;IBA
GO:BP	GO:0008283	cell population proliferation	0.030901243608925436	1961	29	IDA;ISS;IEA;IDA;IBA;IEA;IDA;IEA;IEA;IDA;IMP;IEA;IMP;IEA;TAS;ISS;IEA;IEA;IEA;IDA;IDA;IEA;IMP;TAS;TAS;IMP;ISS;IEA;IEA;IEA;IEA;IDA;IEA;IMP;IGI;NAS;IEA;IDA;IBA;IEA
GO:BP	GO:0030216	keratinocyte differentiation	0.03329784255585977	177	8	IEA;ISS;IEA;IMP;IMP;IBA;IBA;IMP;TAS
GO:BP	GO:0030154	cell differentiation	0.03464995662742702	4443	50	IDA;ISS;IEA;ISS;IDA;ISS;TAS;IBA;IEA;ISS;IEA;IBA;IBA;IEA;ISS;IBA;IEA;IMP;ISS;IBA;IEA;IMP;IEA;ISS;IEA;IEA;IEA;IEA;IMP;ISS;IBA;IEA;IEA;IMP;IEA;IDA;IMP;IEA;IBA;IBA;TAS;IEA;IMP;ISS;IBA;ISS;IMP;IEP;ISS;IBA;IEA;IEA;ISS;IBA;IEA;NAS;IEA;IBA;IEA;IMP;IDA;IEA;NAS;IEA;IMP;IEA;IDA;IMP;ISS;IBA;IEA;TAS;IEA;IDA;IEA;IMP;IDA;IC;IEA;IEA;IBA
GO:BP	GO:0048869	cellular developmental process	0.03486952534161382	4444	50	IDA;ISS;IEA;ISS;IDA;ISS;TAS;IBA;IEA;ISS;IEA;IBA;IBA;IEA;ISS;IBA;IEA;IMP;ISS;IBA;IEA;IMP;IEA;ISS;IEA;IEA;IEA;IEA;IMP;ISS;IBA;IEA;IEA;IMP;IEA;IDA;IMP;IEA;IBA;IBA;TAS;IEA;IMP;ISS;IBA;ISS;IMP;IEP;ISS;IBA;IEA;IEA;ISS;IBA;IEA;NAS;IEA;IBA;IEA;IMP;IDA;IEA;NAS;IEA;IMP;IEA;IDA;IMP;ISS;IBA;IEA;TAS;IEA;IDA;IEA;IMP;IDA;IC;IEA;IEA;IBA
GO:BP	GO:0015820	L-leucine transport	0.04993737672804631	10	3	IDA;IMP;IGI;ISS;IEA;ISS;IBA;IEA;ISS;IBA;IEA
