gene	mean_importance	std_importance	fold_freq_top100
CYP2B7P1	0.29407932218274435	0.012924082975722248	5
TFF1	0.23112749169021468	0.060463122414112114	5
C1orf64	0.21784554150877974	0.02857108775136428	5
AGR3	0.20383789512495243	0.01817596268016993	5
KCNJ3	0.20278894047451793	0.03478030194216028	5
MIA	0.1825937637220606	0.020247235798785578	5
PPP1R14C	0.18086997048090875	0.01829761060179398	5
STAC2	0.17856202564788629	0.012759180628982996	5
ESR1	0.17754490396779937	0.012411359486913805	5
CHAD	0.1749026808241187	0.01091695804756316	5
ATP13A5	0.17479067694558595	0.026033188999285965	5
AQP5	0.17327476726059915	0.02405356855956531	5
TCAM1P	0.1638615086592515	0.020758443164106844	5
DACH1	0.1600714630514129	0.03117810105260537	5
KLK6	0.15916433227316967	0.0203142462728913	5
FABP7	0.14764181406615004	0.05874608596153928	5
ERBB4	0.14723897055972782	0.013925420555857779	5
SMC1B	0.14463721136420993	0.019662340625292558	5
GAL	0.14147161679985248	0.016693839857113712	5
ELF5	0.14128293886162582	0.03310929824215421	5
SLC7A2	0.14094602661591105	0.053441165502456305	5
C20orf114	0.14027349658217517	0.03508811921147837	5
SLC15A1	0.138758964520125	0.03239790586173227	5
FOXC1	0.13788721331452186	0.014345785407971864	5
ELOVL2	0.13780330697649407	0.031187434761168486	5
SLC44A4	0.13773574310610873	0.023178322242407196	5
CST9	0.13709016568625967	0.040710586540878266	5
GP2	0.13665404382015603	0.007992704596650167	5
ANKRD30A	0.1357568834383956	0.03861246458635958	4
WNK4	0.13519291092526936	0.03664877546494165	5
IL20	0.13499077922958458	0.05441949975974237	5
KRT17	0.1338665223225395	0.03395056165695015	5
CYP4B1	0.13083236361133765	0.025912279054109203	5
ABCC11	0.13076588702995512	0.03679297509183508	5
PLA2G10	0.12860098248594445	0.020672537857779463	5
ANKRD30B	0.12810588559028416	0.03252083399861665	5
SLC6A11	0.12733548406834252	0.03019473042122637	5
FLJ45983	0.12627085329636464	0.040713047918476256	3
CAPN8	0.12581343869967637	0.022392211893775625	5
SFRP1	0.12378046750532237	0.035469333334367574	4
MAG	0.12288526041513821	0.02176999955689992	5
RET	0.1212646168772357	0.029754141322610752	4
PGR	0.12110179957046083	0.045373919054022334	5
PIP	0.11877876817265709	0.041442316427223964	3
HSD17B2	0.11762197154356521	0.023897850190294462	5
MAPK4	0.11740157061431464	0.021254901058798462	5
SOX11	0.11642395036391469	0.006111968108510944	5
SYT8	0.11432222605869116	0.023738826287419197	5
SYTL5	0.11423301639352215	0.0334722229191222	5
CYP4Z2P	0.11354042452170994	0.025294943171122596	5
DSC3	0.11244916214812557	0.03854039727415441	5
LOC150622	0.11149556093554946	0.02561486946449937	5
CHI3L2	0.11047205099638024	0.014825815618731517	5
OGN	0.11002765787948669	0.03223247796771664	4
AFF3	0.10977559435240203	0.01707634670872743	5
C6orf97	0.10926727492749633	0.01267663783566364	5
MARCO	0.10848372130526222	0.02662106801239585	5
PDZK1	0.10824005054822776	0.05218121660804989	5
MAPT	0.107766477534419	0.038036609230258034	5
LRRC31	0.10764377167826218	0.01764564640855058	5
F7	0.10762260161234534	0.022986210271398997	4
KLF5	0.10707136181969748	0.019655687876532376	5
ABCC8	0.10654211150928838	0.01744654529723628	5
KCNH1	0.10478374471304992	0.014095725550975578	5
CAPN9	0.10451752192016221	0.026928086509605473	5
FAM131C	0.10353975707063483	0.021478535602276413	5
ITGB8	0.1032292784687995	0.005624102517347575	5
DEFB1	0.10317277242619001	0.023439340458453254	4
TMEM158	0.10293159462417104	0.01598100629283327	4
KIF12	0.10273126991389352	0.016319990638604072	5
AMY1A	0.10248755983551042	0.032419636931462936	4
KCNG1	0.10235936219353252	0.030540026698168382	3
RIMS4	0.10229693919811031	0.03365106914699298	1
LRG1	0.10206779914802575	0.03878902606902375	5
CA12	0.10114087268582672	0.0101818644194516	5
TMEM26	0.10099138544281092	0.017534147856653755	5
NAV3	0.10085770131420997	0.018209155128291084	5
SERPINA5	0.09990576291278017	0.033942241297474314	2
C1orf173	0.09941175257524855	0.018665865343229445	5
MYBL2	0.09911361510756941	0.007749811751750353	5
SLC34A2	0.0978377073103994	0.02710071695699579	2
TLX1	0.09744633234924452	0.018621900767052155	3
HRASLS	0.09730643081750993	0.019907200908375056	4
KRT16	0.09700194078709239	0.023689417553614794	4
IL1RL2	0.09677655573234985	0.01875000020699879	3
TPSG1	0.09608206139595012	0.017958872663933773	5
OSR1	0.09574896614696139	0.013494216113700356	4
CACNG1	0.0954797486604948	0.022122794486274994	2
CXCL1	0.09521419982765829	0.027126274848661938	5
ART3	0.09515274293352025	0.0379056616118907	4
AGR2	0.09499281268118369	0.01847701678747246	2
KRT6C	0.09440596845133473	0.02354920938081919	2
PHYHD1	0.09434686790725248	0.03814250633984637	5
NAT1	0.09422163549651467	0.03070016989009351	5
ATP10B	0.09420897093055172	0.009767562923787616	4
NOVA1	0.09380813413043745	0.011326776608889987	5
TFCP2L1	0.09268123621491321	0.018689907183790804	5
ROPN1B	0.09226048845209155	0.01774104226002637	2
SLC27A2	0.09137092616851807	0.019912821916411836	4
COL9A3	0.09131702015219387	0.01597906954941979	3
SULT2B1	0.09126328009743838	0.019658677787865248	4
LOC284276	0.09107180953431454	0.017740663838090608	4
