gene	lr_abs_coef	hr	p
MS4A1	1.0836836712686995	0.9464285111504733	0.016216725509186528
COL17A1	0.8419417609728647	0.9515177466448046	0.019891028893280854
C2orf40	0.7694823012551467	0.9556790172405332	0.07214355123906144
PLA2G2D	0.7141778872806996	0.9457739034505748	0.02453728043081319
FABP7	0.6647343394304699	0.9559206479140424	0.013178543505839552
CCL19	0.6451951421503632	0.9463890331025233	0.009237119578043728
GZMB	0.6074994315090119	0.9432402254306165	0.039093398361435536
FGFBP1	0.5990509380218219	0.9461321485581515	0.032358788382593665
LOC96610	0.5849672635897559	0.9435458803552863	0.033219180473191424
POU2AF1	0.5637158948673583	0.943461451209974	0.03231087100524581
MMP12	0.5190987710696968	0.9709894861125158	0.2151306636977196
FLT3	0.511243028380565	0.9399051202205021	0.017161454976570827
GNG4	0.5074244637127766	0.9490157791172094	0.04868762216238961
ZIC2	0.4931365228938431	1.0580087585851288	0.013004127965553116
ROPN1B	0.47280215452581503	0.9595076631149365	0.0757632853148142
L1CAM	0.4716329014236257	1.0508730859470952	0.06000723407185712
TNN	0.4618207808212156	0.936373481936946	0.024047034725635737
CGA	0.4580219943566356	0.9809928652952983	0.33088959385685013
SCNN1B	0.4556457088418141	1.0287230055800791	0.30225620864814084
CHRNA9	0.454220034778014	0.9552864921361424	0.15972452153572025
MLPH	0.4510544725460032	0.9858420201706959	0.5791810718269383
CLEC3A	0.4391822414951793	1.028986271871862	0.016747748190682022
UPF0639	0.41969501984246627	0.9799226253511483	0.475732028463272
CD79A	0.4191303365696029	0.9348310415766432	0.008197522329626785
ADAM6	0.41824872687122205	0.9378820809056923	0.011817805368094845
APOD	0.4115213228450251	0.9599235394889829	0.11231241518120746
MCCD1	0.3967141480502691	0.9670291662581844	0.2839913357437761
CXCL13	0.3965787163732986	0.9541337246543511	0.024080224522724982
PDZK1	0.39187938932209115	0.9744606801205882	0.20604514722180528
ECEL1	0.39055717135359347	0.9480293721525144	0.07919893476043541
TFPI2	0.38801334968884427	0.9256006248556868	0.001521378845828063
GZMK	0.38598710295028926	0.9429890790909734	0.044970816308458436
UBD	0.38250252055007083	0.9493822858786997	0.04270634288658015
STC2	0.37713371631113246	0.9549823833630653	0.0865032243106378
KRT14	0.3770899814754353	0.9680623429217186	0.054399594569800584
TNNI3	0.3750145194747369	0.9618345848624776	0.15490071358120966
TUBB2B	0.37480409686726346	0.9465630877603685	0.06341031089537637
CAMK2B	0.3695082395786546	0.943670628536436	0.0450011073023856
NPY1R	0.36635218425866384	0.9598149810317897	0.027218457032733758
LAMC2	0.3609192752268262	0.9508880726365274	0.09401694878404906
GLRA3	0.3566426313499434	0.9663383220158797	0.12742262305820642
BLK	0.3494135648287177	0.9443925539471497	0.049444948286228044
PIGR	0.34866460532194776	0.9478867312982667	0.0050299828669741545
FABP6	0.3466468075952793	1.0424777686355466	0.13916409213547531
MIA	0.3435009186162086	0.9527845334754513	0.023046906216988988
PLA2G10	0.33783507876544466	0.952755231634691	0.1140286942160553
CCNO	0.3310085820981167	0.9675423754487874	0.16576524308831314
SYT8	0.32966623043283544	0.9575296038144053	0.06785352753938664
TNFRSF17	0.32190571907889226	0.9373725567914643	0.025031008860301816
ELOVL2	0.31842715522215015	0.9555821072143578	0.03455445735883265
RGS22	0.3178920167618348	0.97363925121268	0.25805307255192333
TP63	0.31769942150380487	0.939402454430468	0.019848142733635343
NME5	0.3144965345319552	0.9564384950568319	0.11794486949533571
KCNK1	0.31282886838980584	1.0432030471720775	0.16921700624365024
TTYH1	0.31085039268713655	0.9692186928271727	0.1943597622471988
CPA4	0.3108462208724244	1.0228996757296158	0.4197566646549906
CDH19	0.2998341067888452	0.9556173515418278	0.1019514392575711
VWA2	0.2981747265179802	0.9528661949809109	0.0687960092767252
CHAD	0.2949270274551242	0.9613575012663633	0.04542241745058401
C4BPA	0.2939353726044334	0.9476020432916523	0.07233329932971877
TOX3	0.290410527486826	0.9677423486230172	0.17068585387841007
SP5	0.2846632104610493	0.9534628738788014	0.08445620529413864
C20orf85	0.2731885432450413	0.9324315047180218	0.0232771696796195
MGC29506	0.26801815460091044	0.9472600041613732	0.05195282431826961
GP2	0.2678154884828639	0.9800103098867191	0.23354921811466425
TFF1	0.2629009055467917	0.9780408473152912	0.10846147084426871
CLEC10A	0.2610188284199879	0.9461151827129417	0.048924359780025725
CHIT1	0.2597394662329595	0.9683139003938348	0.1644318672090913
FGFR3	0.25944096541661965	0.9793834693533636	0.48175489359273116
CRISP3	0.2584227798945479	1.0356981920753465	0.05123180232054164
NEK10	0.2508240247277543	0.9574323571381128	0.04532330645087119
CWH43	0.24733668883686202	1.0321484306625575	0.20856006272954558
PEG3	0.24345256340502583	1.0391020893640555	0.13584184978494127
FOXJ1	0.2428358767854425	0.9511575415549601	0.02263811887367815
HPN	0.24077749640589632	0.9669434314658704	0.22475697342637374
CES1	0.2406880221077525	0.965157250429048	0.2467200701007443
C6orf141	0.23771482406212877	0.9381504047506299	0.02907551118361697
CYP4F12	0.23523998362580664	0.9464114299269899	0.057868084341347
CXCL1	0.23352406151966387	0.9388397136524362	0.028098749024754156
CD1A	0.22867279731485093	0.9526426885674116	0.079323648886215
ZNF385B	0.2285957599278079	0.9417377506259497	0.01519318626934145
CHST9	0.22850458347265032	0.9590483993139186	0.12458826320846018
SPDYC	0.22762608124417918	1.0597710652221939	0.009639831184633966
SERPINA3	0.22443880228350704	0.9354729424155886	0.016094529793359104
COL9A3	0.2238780292506946	0.9740785882802746	0.3138617291881025
CST1	0.21968463816739198	0.9745376161411837	0.17702673937502109
GLB1L2	0.21947238194594976	1.031704182573186	0.321058544975972
KCNJ3	0.2183116639361926	0.9882968417137286	0.4509626604488982
PRAME	0.21570564727359332	1.025632381006555	0.0954680524904183
CHRM1	0.2135030511747436	1.0201708654831185	0.44905329147824313
IGJ	0.20986047781637954	0.9365780279224565	0.004005236445464997
SERPINA5	0.2060031963011374	0.974629942452837	0.22161544421305865
ALOX15	0.20291551563883473	1.0645882427293165	0.01905108677967419
KIAA0125	0.198654781576489	0.950225963660413	0.07635869683341363
IGSF1	0.19588909792530645	0.952502805486448	0.02295565809454102
NCCRP1	0.19537271261199154	1.0220083960420772	0.32644717941518964
MYEOV	0.19527831990120204	0.9532489856509071	0.08100945922460367
KRT17	0.1915732254084228	0.9601681028707234	0.03014303116396038
CHGA	0.1896196415800238	0.9607500512404544	0.12823163285589959
TPRG1	0.18823274064431572	0.951555376264698	0.027861154778369968
WDR17	0.1852703411276893	0.9458629796556607	0.051045257936156836
CD19	0.18367996370159553	0.9483636199328046	0.04292986047912982
ADCY1	0.18138590389384768	0.9740996060161272	0.3432354600747717
PSCA	0.18119244181711294	1.0456690121542789	0.050660744612919355
HDC	0.18021821472692767	0.9738388690536613	0.3887118844302434
IDO1	0.17888914969797398	0.9609756289958344	0.13194938008945722
KLHDC7B	0.17697352896159843	0.93942022209159	0.034120432750317335
ALOX15B	0.17268353994745828	0.9619279171888953	0.10099221861022376
PLCH1	0.1675543192080574	1.0267834186134532	0.28207187028344227
CD207	0.16730987562778793	0.9409981080390221	0.04282232492422838
RP1	0.16576859083153686	0.956646719687111	0.11195676554507494
