task	omics	feature	category_id	category
PAM50	CNV	TMEM167A	5	Other
PAM50	CNV	RASGRF2	1	Signaling/Transport
PAM50	CNV	MIR548P	5	Other
PAM50	CNV	FAM174A	5	Other
PAM50	CNV	IKZF3	5	Other
PAM50	CNV	MIEN1	5	Other
PAM50	CNV	MIR4728	5	Other
PAM50	CNV	PPP1R1B	5	Other
PAM50	CNV	PNMT	5	Other
PAM50	CNV	ZPBP2	5	Other
PAM50	CNV	CDK12	4	Cell cycle/Proliferation
PAM50	CNV	GZMK	5	Other
PAM50	CNV	ESM1	5	Other
PAM50	CNV	OR6C3	5	Other
PAM50	CNV	OR6C1	5	Other
PAM50	CNV	OR6C75	5	Other
PAM50	CNV	CD300LG	3	Immune/Inflammation
PAM50	CNV	TMEM198B	5	Other
PAM50	CNV	SLIT3	5	Other
PAM50	CNV	MEIS1	5	Other
PAM50	CNV	KPNB1	5	Other
PAM50	CNV	FOXA1	0	Development/Epithelium
PAM50	CNV	ACYP2	2	Hormone/Metabolism
PAM50	CNV	SNORA42|ENSG00000200385.1	5	Other
PAM50	CNV	SPTSSA	5	Other
PAM50	CNV	HIVEP3	5	Other
PAM50	CNV	EAPP	5	Other
PAM50	CNV	LBH	5	Other
PAM50	CNV	SNF8	5	Other
PAM50	CNV	FOSL2	5	Other
PAM50	CNV	KCNF1	5	Other
PAM50	CNV	EPHA10	5	Other
PAM50	CNV	PPAP2B	5	Other
PAM50	CNV	KCMF1	5	Other
PAM50	CNV	FAM208B	5	Other
PAM50	CNV	CLRN1	5	Other
PAM50	CNV	SELT	5	Other
PAM50	CNV	TM4SF1	5	Other
PAM50	CNV	LGR5	5	Other
PAM50	CNV	LINC00504	5	Other
PAM50	CNV	ZFPM1	5	Other
PAM50	CNV	CREBBP	5	Other
PAM50	CNV	BANP	5	Other
PAM50	CNV	MIR3686	5	Other
PAM50	CNV	PVT1	5	Other
PAM50	CNV	DEPTOR	5	Other
PAM50	CNV	ATP5D	5	Other
PAM50	CNV	RN7SKP206	5	Other
PAM50	CNV	COLEC10	0	Development/Epithelium
PAM50	CNV	SNORD33|ENSG00000252022.1	5	Other
PAM50	miRNA	MIMAT0000072	4	Cell cycle/Proliferation
