config	model	metric	mean	std
full_transcriptome	LogisticRegression	accuracy	0.9628	0.0167
full_transcriptome	LogisticRegression	macro_f1	0.9575	0.0199
full_transcriptome	MLP	accuracy	0.9183	0.0179
full_transcriptome	MLP	macro_f1	0.9023	0.0199
full_transcriptome	FullSizeCNN	accuracy	0.9316	0.0071
full_transcriptome	FullSizeCNN	macro_f1	0.9205	0.0097
exclude_pam50_genes	LogisticRegression	accuracy	0.9628	0.0138
exclude_pam50_genes	LogisticRegression	macro_f1	0.959	0.0185
exclude_pam50_genes	MLP	accuracy	0.9232	0.0292
exclude_pam50_genes	MLP	macro_f1	0.9065	0.0332
exclude_pam50_genes	FullSizeCNN	accuracy	0.9171	0.0177
exclude_pam50_genes	FullSizeCNN	macro_f1	0.9068	0.0153
pam50_only	LogisticRegression	accuracy	0.922	0.0076
pam50_only	LogisticRegression	macro_f1	0.9134	0.0144
pam50_only	MLP	accuracy	0.898	0.0173
pam50_only	MLP	macro_f1	0.8864	0.0243
pam50_only	FullSizeCNN	accuracy	0.9003	0.0169
pam50_only	FullSizeCNN	macro_f1	0.8861	0.0186
