task	ordering	repeat	metric	mean	std
PAM50	mean_expression	-1	accuracy	0.9316	0.0082
PAM50	mean_expression	-1	macro_f1	0.9232	0.0097
PAM50	random	0	accuracy	0.9303	0.0156
PAM50	random	0	macro_f1	0.92	0.0142
PAM50	random	1	accuracy	0.9304	0.014
PAM50	random	1	macro_f1	0.9179	0.0164
PAM50	random	2	accuracy	0.9316	0.0153
PAM50	random	2	macro_f1	0.918	0.0187
PAM50	random	3	accuracy	0.9256	0.0238
PAM50	random	3	macro_f1	0.9179	0.0299
PAM50	random	4	accuracy	0.9292	0.0225
PAM50	random	4	macro_f1	0.9212	0.0264
PAM50	random	5	accuracy	0.9256	0.0273
PAM50	random	5	macro_f1	0.9205	0.0288
PAM50	random	6	accuracy	0.9112	0.0262
PAM50	random	6	macro_f1	0.9047	0.0247
PAM50	random	7	accuracy	0.922	0.0222
PAM50	random	7	macro_f1	0.9123	0.0206
PAM50	random	8	accuracy	0.9196	0.0241
PAM50	random	8	macro_f1	0.9119	0.0286
PAM50	random	9	accuracy	0.9279	0.0262
PAM50	random	9	macro_f1	0.9205	0.0223
PAM50	random	10	accuracy	0.934	0.0238
PAM50	random	10	macro_f1	0.9234	0.0271
PAM50	random	11	accuracy	0.9171	0.0211
PAM50	random	11	macro_f1	0.9052	0.0164
PAM50	random	12	accuracy	0.9112	0.0139
PAM50	random	12	macro_f1	0.9004	0.0156
PAM50	random	13	accuracy	0.9352	0.0175
PAM50	random	13	macro_f1	0.9296	0.0222
PAM50	random	14	accuracy	0.9363	0.0218
PAM50	random	14	macro_f1	0.9213	0.0251
PAM50	random	15	accuracy	0.9243	0.0207
PAM50	random	15	macro_f1	0.9089	0.0281
PAM50	random	16	accuracy	0.9256	0.0235
PAM50	random	16	macro_f1	0.9127	0.0299
PAM50	random	17	accuracy	0.94	0.0224
PAM50	random	17	macro_f1	0.9298	0.0307
PAM50	random	18	accuracy	0.9279	0.0198
PAM50	random	18	macro_f1	0.9208	0.0167
PAM50	random	19	accuracy	0.9292	0.0088
PAM50	random	19	macro_f1	0.9186	0.0068
Survival	mean_expression	-1	roc_auc	0.6604	0.0522
Survival	mean_expression	-1	c_index	0.6914	0.0319
Survival	random	0	roc_auc	0.6718	0.0585
Survival	random	0	c_index	0.7078	0.0308
Survival	random	1	roc_auc	0.6662	0.0544
Survival	random	1	c_index	0.6958	0.0502
Survival	random	2	roc_auc	0.6393	0.0792
Survival	random	2	c_index	0.6802	0.081
Survival	random	3	roc_auc	0.6852	0.0487
Survival	random	3	c_index	0.7181	0.0389
Survival	random	4	roc_auc	0.6722	0.0545
Survival	random	4	c_index	0.7072	0.0262
Survival	random	5	roc_auc	0.6739	0.0511
Survival	random	5	c_index	0.7072	0.0328
Survival	random	6	roc_auc	0.6828	0.0665
Survival	random	6	c_index	0.7188	0.0631
Survival	random	7	roc_auc	0.6682	0.048
Survival	random	7	c_index	0.7032	0.0448
Survival	random	8	roc_auc	0.6735	0.0555
Survival	random	8	c_index	0.712	0.0376
Survival	random	9	roc_auc	0.6495	0.059
Survival	random	9	c_index	0.6919	0.0296
Survival	random	10	roc_auc	0.6823	0.0548
Survival	random	10	c_index	0.7237	0.0239
Survival	random	11	roc_auc	0.6803	0.0609
Survival	random	11	c_index	0.7188	0.0362
Survival	random	12	roc_auc	0.6853	0.0562
Survival	random	12	c_index	0.7198	0.0484
Survival	random	13	roc_auc	0.6728	0.0603
Survival	random	13	c_index	0.7047	0.0499
Survival	random	14	roc_auc	0.6568	0.0585
Survival	random	14	c_index	0.6949	0.0544
Survival	random	15	roc_auc	0.6623	0.0558
Survival	random	15	c_index	0.6995	0.0442
Survival	random	16	roc_auc	0.6788	0.0627
Survival	random	16	c_index	0.7137	0.0491
Survival	random	17	roc_auc	0.6781	0.057
Survival	random	17	c_index	0.7152	0.0404
Survival	random	18	roc_auc	0.65	0.0722
Survival	random	18	c_index	0.6796	0.0608
Survival	random	19	roc_auc	0.667	0.0659
Survival	random	19	c_index	0.6979	0.0505
