omics	task	model	metric	mean	std
mRNA	PAM50	LogisticRegression	accuracy	0.9628	0.0167
mRNA	PAM50	LogisticRegression	macro_f1	0.9575	0.0199
mRNA	PAM50	RandomForest	accuracy	0.9207	0.0164
mRNA	PAM50	RandomForest	macro_f1	0.9056	0.0341
mRNA	PAM50	GradientBoosting	accuracy	0.9219	0.0171
mRNA	PAM50	GradientBoosting	macro_f1	0.9124	0.0264
mRNA	PAM50	SVC	accuracy	0.958	0.0197
mRNA	PAM50	SVC	macro_f1	0.9527	0.0226
mRNA	PAM50	KNN	accuracy	0.8763	0.023
mRNA	PAM50	KNN	macro_f1	0.8617	0.0352
mRNA	PAM50	MLP	accuracy	0.9183	0.0179
mRNA	PAM50	MLP	macro_f1	0.9023	0.0199
mRNA	PAM50	FullSizeCNN	accuracy	0.9316	0.0071
mRNA	PAM50	FullSizeCNN	macro_f1	0.9205	0.0097
CNV	PAM50	LogisticRegression	accuracy	0.714	0.032
CNV	PAM50	LogisticRegression	macro_f1	0.6657	0.0482
CNV	PAM50	RandomForest	accuracy	0.6736	0.0312
CNV	PAM50	RandomForest	macro_f1	0.618	0.0467
CNV	PAM50	GradientBoosting	accuracy	0.7164	0.0429
CNV	PAM50	GradientBoosting	macro_f1	0.6613	0.0604
CNV	PAM50	SVC	accuracy	0.6981	0.0277
CNV	PAM50	SVC	macro_f1	0.6444	0.0424
CNV	PAM50	KNN	accuracy	0.6834	0.0253
CNV	PAM50	KNN	macro_f1	0.5982	0.0298
CNV	PAM50	MLP	accuracy	0.7213	0.0156
CNV	PAM50	MLP	macro_f1	0.6694	0.0264
CNV	PAM50	FullSizeCNN	accuracy	0.7164	0.0246
CNV	PAM50	FullSizeCNN	macro_f1	0.6727	0.0352
miRNA	PAM50	LogisticRegression	accuracy	0.841	0.012
miRNA	PAM50	LogisticRegression	macro_f1	0.8256	0.0069
miRNA	PAM50	RandomForest	accuracy	0.7786	0.0504
miRNA	PAM50	RandomForest	macro_f1	0.6685	0.0645
miRNA	PAM50	GradientBoosting	accuracy	0.7927	0.0604
miRNA	PAM50	GradientBoosting	macro_f1	0.7455	0.0693
miRNA	PAM50	SVC	accuracy	0.833	0.0187
miRNA	PAM50	SVC	macro_f1	0.8164	0.0278
miRNA	PAM50	KNN	accuracy	0.6922	0.0178
miRNA	PAM50	KNN	macro_f1	0.5582	0.0549
miRNA	PAM50	MLP	accuracy	0.835	0.0148
miRNA	PAM50	MLP	macro_f1	0.8121	0.0166
miRNA	PAM50	FullSizeCNN	accuracy	0.823	0.0227
miRNA	PAM50	FullSizeCNN	macro_f1	0.7785	0.0338
mRNA	Survival	LogisticRegression	roc_auc	0.6192	0.027
mRNA	Survival	LogisticRegression	c_index	0.639	0.0681
mRNA	Survival	RandomForest	roc_auc	0.5896	0.0295
mRNA	Survival	RandomForest	c_index	0.6181	0.0399
mRNA	Survival	GradientBoosting	roc_auc	0.6013	0.0225
mRNA	Survival	GradientBoosting	c_index	0.6317	0.0417
mRNA	Survival	SVC	roc_auc	0.6161	0.0227
mRNA	Survival	SVC	c_index	0.6297	0.0696
mRNA	Survival	KNN	roc_auc	0.5994	0.0385
mRNA	Survival	KNN	c_index	0.6249	0.0525
mRNA	Survival	MLP	roc_auc	0.659	0.0519
mRNA	Survival	MLP	c_index	0.6916	0.0467
mRNA	Survival	FullSizeCNN	roc_auc	0.6768	0.0549
mRNA	Survival	FullSizeCNN	c_index	0.7125	0.0303
mRNA	Survival	CoxPH	roc_auc	0.6636	0.0604
mRNA	Survival	CoxPH	c_index	0.6979	0.0318
CNV	Survival	LogisticRegression	roc_auc	0.6977	0.0328
CNV	Survival	LogisticRegression	c_index	0.7007	0.0261
CNV	Survival	RandomForest	roc_auc	0.6127	0.0351
CNV	Survival	RandomForest	c_index	0.6481	0.0468
CNV	Survival	GradientBoosting	roc_auc	0.6118	0.0356
CNV	Survival	GradientBoosting	c_index	0.6187	0.045
CNV	Survival	SVC	roc_auc	0.6529	0.0419
CNV	Survival	SVC	c_index	0.6652	0.0358
CNV	Survival	KNN	roc_auc	0.5346	0.0644
CNV	Survival	KNN	c_index	0.549	0.0714
CNV	Survival	MLP	roc_auc	0.6217	0.0307
CNV	Survival	MLP	c_index	0.6083	0.0467
CNV	Survival	FullSizeCNN	roc_auc	0.6244	0.0428
CNV	Survival	FullSizeCNN	c_index	0.6199	0.0591
CNV	Survival	CoxPH	roc_auc	0.6949	0.0515
CNV	Survival	CoxPH	c_index	0.7109	0.0339
miRNA	Survival	LogisticRegression	roc_auc	0.6126	0.0508
miRNA	Survival	LogisticRegression	c_index	0.5665	0.0521
miRNA	Survival	RandomForest	roc_auc	0.6016	0.0215
miRNA	Survival	RandomForest	c_index	0.5863	0.0318
miRNA	Survival	GradientBoosting	roc_auc	0.574	0.0625
miRNA	Survival	GradientBoosting	c_index	0.5686	0.0671
miRNA	Survival	SVC	roc_auc	0.5982	0.0491
miRNA	Survival	SVC	c_index	0.5509	0.0517
miRNA	Survival	KNN	roc_auc	0.5448	0.027
miRNA	Survival	KNN	c_index	0.5307	0.0267
miRNA	Survival	MLP	roc_auc	0.602	0.0532
miRNA	Survival	MLP	c_index	0.5781	0.0773
miRNA	Survival	FullSizeCNN	roc_auc	0.6301	0.0401
miRNA	Survival	FullSizeCNN	c_index	0.6067	0.0703
miRNA	Survival	CoxPH	roc_auc	0.5538	0.0735
miRNA	Survival	CoxPH	c_index	0.5751	0.0573
