omics	task	model	metric	mean	std
mRNA	PAM50	LogisticRegression	accuracy	0.927	0.0217
mRNA	PAM50	LogisticRegression	macro_f1	0.9184	0.0316
mRNA	PAM50	RandomForest	accuracy	0.9066	0.0441
mRNA	PAM50	RandomForest	macro_f1	0.8817	0.0773
mRNA	PAM50	GradientBoosting	accuracy	0.8865	0.0359
mRNA	PAM50	GradientBoosting	macro_f1	0.8629	0.0435
mRNA	PAM50	SVC	accuracy	0.9269	0.0255
mRNA	PAM50	SVC	macro_f1	0.9136	0.0413
mRNA	PAM50	KNN	accuracy	0.8519	0.0305
mRNA	PAM50	KNN	macro_f1	0.8277	0.0562
mRNA	PAM50	MLP	accuracy	0.9026	0.022
mRNA	PAM50	MLP	macro_f1	0.8801	0.049
mRNA	PAM50	FullSizeCNN	accuracy	0.9047	0.036
mRNA	PAM50	FullSizeCNN	macro_f1	0.8854	0.0547
CNV	PAM50	LogisticRegression	accuracy	0.7202	0.0377
CNV	PAM50	LogisticRegression	macro_f1	0.6538	0.0347
CNV	PAM50	RandomForest	accuracy	0.7059	0.0305
CNV	PAM50	RandomForest	macro_f1	0.6397	0.0492
CNV	PAM50	GradientBoosting	accuracy	0.704	0.0452
CNV	PAM50	GradientBoosting	macro_f1	0.6236	0.0617
CNV	PAM50	SVC	accuracy	0.6998	0.0488
CNV	PAM50	SVC	macro_f1	0.6359	0.0703
CNV	PAM50	KNN	accuracy	0.6715	0.0419
CNV	PAM50	KNN	macro_f1	0.5557	0.0634
CNV	PAM50	MLP	accuracy	0.7324	0.039
CNV	PAM50	MLP	macro_f1	0.6685	0.0673
CNV	PAM50	FullSizeCNN	accuracy	0.7283	0.0307
CNV	PAM50	FullSizeCNN	macro_f1	0.6726	0.0584
miRNA	PAM50	LogisticRegression	accuracy	0.8418	0.0139
miRNA	PAM50	LogisticRegression	macro_f1	0.8223	0.0186
miRNA	PAM50	RandomForest	accuracy	0.785	0.0351
miRNA	PAM50	RandomForest	macro_f1	0.6349	0.036
miRNA	PAM50	GradientBoosting	accuracy	0.8012	0.0535
miRNA	PAM50	GradientBoosting	macro_f1	0.7525	0.0765
miRNA	PAM50	SVC	accuracy	0.8357	0.0038
miRNA	PAM50	SVC	macro_f1	0.8141	0.0272
miRNA	PAM50	KNN	accuracy	0.6896	0.0192
miRNA	PAM50	KNN	macro_f1	0.5444	0.0611
miRNA	PAM50	MLP	accuracy	0.8276	0.0146
miRNA	PAM50	MLP	macro_f1	0.7797	0.0268
miRNA	PAM50	FullSizeCNN	accuracy	0.7972	0.0262
miRNA	PAM50	FullSizeCNN	macro_f1	0.7652	0.0377
mRNA	Survival	LogisticRegression	roc_auc	0.6535	0.0696
mRNA	Survival	LogisticRegression	c_index	0.6201	0.0829
mRNA	Survival	RandomForest	roc_auc	0.6136	0.0586
mRNA	Survival	RandomForest	c_index	0.6626	0.0819
mRNA	Survival	GradientBoosting	roc_auc	0.5999	0.0446
mRNA	Survival	GradientBoosting	c_index	0.6091	0.0535
mRNA	Survival	SVC	roc_auc	0.6314	0.068
mRNA	Survival	SVC	c_index	0.5891	0.0953
mRNA	Survival	KNN	roc_auc	0.5943	0.0815
mRNA	Survival	KNN	c_index	0.6352	0.045
mRNA	Survival	MLP	roc_auc	0.7258	0.069
mRNA	Survival	MLP	c_index	0.7362	0.0756
mRNA	Survival	FullSizeCNN	roc_auc	0.7246	0.0656
mRNA	Survival	FullSizeCNN	c_index	0.7448	0.0705
mRNA	Survival	CoxPH	roc_auc	0.6649	0.0681
mRNA	Survival	CoxPH	c_index	0.6954	0.0867
CNV	Survival	LogisticRegression	roc_auc	0.6953	0.0305
CNV	Survival	LogisticRegression	c_index	0.6907	0.0575
CNV	Survival	RandomForest	roc_auc	0.6421	0.0568
CNV	Survival	RandomForest	c_index	0.6278	0.0615
CNV	Survival	GradientBoosting	roc_auc	0.6688	0.0526
CNV	Survival	GradientBoosting	c_index	0.6402	0.0693
CNV	Survival	SVC	roc_auc	0.6731	0.0458
CNV	Survival	SVC	c_index	0.6643	0.0747
CNV	Survival	KNN	roc_auc	0.5826	0.0212
CNV	Survival	KNN	c_index	0.5708	0.0342
CNV	Survival	MLP	roc_auc	0.6261	0.0116
CNV	Survival	MLP	c_index	0.5999	0.051
CNV	Survival	FullSizeCNN	roc_auc	0.6337	0.0328
CNV	Survival	FullSizeCNN	c_index	0.6074	0.0269
CNV	Survival	CoxPH	roc_auc	0.6822	0.048
CNV	Survival	CoxPH	c_index	0.6933	0.0353
miRNA	Survival	LogisticRegression	roc_auc	0.611	0.058
miRNA	Survival	LogisticRegression	c_index	0.5871	0.0547
miRNA	Survival	RandomForest	roc_auc	0.596	0.0879
miRNA	Survival	RandomForest	c_index	0.5915	0.0738
miRNA	Survival	GradientBoosting	roc_auc	0.5779	0.0788
miRNA	Survival	GradientBoosting	c_index	0.574	0.0655
miRNA	Survival	SVC	roc_auc	0.6072	0.0583
miRNA	Survival	SVC	c_index	0.5771	0.0484
miRNA	Survival	KNN	roc_auc	0.5374	0.0565
miRNA	Survival	KNN	c_index	0.5452	0.0631
miRNA	Survival	MLP	roc_auc	0.6338	0.0568
miRNA	Survival	MLP	c_index	0.6174	0.0461
miRNA	Survival	FullSizeCNN	roc_auc	0.6325	0.0532
miRNA	Survival	FullSizeCNN	c_index	0.6162	0.0474
miRNA	Survival	CoxPH	roc_auc	0.5818	0.0529
miRNA	Survival	CoxPH	c_index	0.6279	0.0409
