pair	scheme	task	metric	mean	std
mRNA+CNV	Concat_LogisticRegression	PAM50	accuracy	0.9633	0.0039
mRNA+CNV	Concat_LogisticRegression	PAM50	macro_f1	0.961	0.0104
mRNA+CNV	Concat_RandomForest	PAM50	accuracy	0.9242	0.0207
mRNA+CNV	Concat_RandomForest	PAM50	macro_f1	0.917	0.0244
mRNA+CNV	Concat_GradientBoosting	PAM50	accuracy	0.9218	0.007
mRNA+CNV	Concat_GradientBoosting	PAM50	macro_f1	0.911	0.0096
mRNA+CNV	Concat_SVC	PAM50	accuracy	0.9535	0.0132
mRNA+CNV	Concat_SVC	PAM50	macro_f1	0.9458	0.0171
mRNA+CNV	Concat_KNN	PAM50	accuracy	0.8692	0.0123
mRNA+CNV	Concat_KNN	PAM50	macro_f1	0.8597	0.0155
mRNA+CNV	Concat_MLP	PAM50	accuracy	0.9144	0.0239
mRNA+CNV	Concat_MLP	PAM50	macro_f1	0.9061	0.0244
mRNA+CNV	CNN_TwoConcat	PAM50	accuracy	0.9181	0.0268
mRNA+CNV	CNN_TwoConcat	PAM50	macro_f1	0.9133	0.0239
mRNA+CNV	CNN_TwoGated	PAM50	accuracy	0.9168	0.0211
mRNA+CNV	CNN_TwoGated	PAM50	macro_f1	0.9075	0.0265
mRNA+CNV	CNN_LateAvg	PAM50	accuracy	0.8888	0.0517
mRNA+CNV	CNN_LateAvg	PAM50	macro_f1	0.8706	0.0752
mRNA+miRNA	Concat_LogisticRegression	PAM50	accuracy	0.9095	0.0109
mRNA+miRNA	Concat_LogisticRegression	PAM50	macro_f1	0.902	0.0176
mRNA+miRNA	Concat_RandomForest	PAM50	accuracy	0.8954	0.0165
mRNA+miRNA	Concat_RandomForest	PAM50	macro_f1	0.8754	0.0228
mRNA+miRNA	Concat_GradientBoosting	PAM50	accuracy	0.8774	0.0276
mRNA+miRNA	Concat_GradientBoosting	PAM50	macro_f1	0.8525	0.0298
mRNA+miRNA	Concat_SVC	PAM50	accuracy	0.9034	0.0164
mRNA+miRNA	Concat_SVC	PAM50	macro_f1	0.8908	0.0311
mRNA+miRNA	Concat_KNN	PAM50	accuracy	0.7968	0.0163
mRNA+miRNA	Concat_KNN	PAM50	macro_f1	0.7449	0.0377
mRNA+miRNA	Concat_MLP	PAM50	accuracy	0.8933	0.019
mRNA+miRNA	Concat_MLP	PAM50	macro_f1	0.8778	0.0159
mRNA+miRNA	CNN_TwoConcat	PAM50	accuracy	0.8933	0.0153
mRNA+miRNA	CNN_TwoConcat	PAM50	macro_f1	0.873	0.0364
mRNA+miRNA	CNN_TwoGated	PAM50	accuracy	0.8733	0.0204
mRNA+miRNA	CNN_TwoGated	PAM50	macro_f1	0.8532	0.0278
mRNA+miRNA	CNN_LateAvg	PAM50	accuracy	0.8893	0.0143
mRNA+miRNA	CNN_LateAvg	PAM50	macro_f1	0.8642	0.0258
CNV+miRNA	Concat_LogisticRegression	PAM50	accuracy	0.8438	0.0443
CNV+miRNA	Concat_LogisticRegression	PAM50	macro_f1	0.8379	0.0469
CNV+miRNA	Concat_RandomForest	PAM50	accuracy	0.7808	0.0443
CNV+miRNA	Concat_RandomForest	PAM50	macro_f1	0.6348	0.039
CNV+miRNA	Concat_GradientBoosting	PAM50	accuracy	0.8113	0.0542
CNV+miRNA	Concat_GradientBoosting	PAM50	macro_f1	0.7619	0.0808
CNV+miRNA	Concat_SVC	PAM50	accuracy	0.8376	0.03
CNV+miRNA	Concat_SVC	PAM50	macro_f1	0.829	0.0407
CNV+miRNA	Concat_KNN	PAM50	accuracy	0.7059	0.0145
CNV+miRNA	Concat_KNN	PAM50	macro_f1	0.5941	0.0302
CNV+miRNA	Concat_MLP	PAM50	accuracy	0.8378	0.0374
CNV+miRNA	Concat_MLP	PAM50	macro_f1	0.8116	0.0638
CNV+miRNA	CNN_TwoConcat	PAM50	accuracy	0.8337	0.0341
CNV+miRNA	CNN_TwoConcat	PAM50	macro_f1	0.8056	0.0606
CNV+miRNA	CNN_TwoGated	PAM50	accuracy	0.8316	0.0308
CNV+miRNA	CNN_TwoGated	PAM50	macro_f1	0.7875	0.0591
CNV+miRNA	CNN_LateAvg	PAM50	accuracy	0.8195	0.0242
CNV+miRNA	CNN_LateAvg	PAM50	macro_f1	0.785	0.0393
mRNA+CNV	Concat_LogisticRegression	Survival	roc_auc	0.6721	0.0485
mRNA+CNV	Concat_LogisticRegression	Survival	c_index	0.6916	0.0431
mRNA+CNV	Concat_RandomForest	Survival	roc_auc	0.621	0.0315
mRNA+CNV	Concat_RandomForest	Survival	c_index	0.672	0.0541
mRNA+CNV	Concat_GradientBoosting	Survival	roc_auc	0.6142	0.0323
mRNA+CNV	Concat_GradientBoosting	Survival	c_index	0.6401	0.0725
mRNA+CNV	Concat_SVC	Survival	roc_auc	0.6511	0.0497
mRNA+CNV	Concat_SVC	Survival	c_index	0.6673	0.0443
mRNA+CNV	Concat_KNN	Survival	roc_auc	0.5467	0.0256
mRNA+CNV	Concat_KNN	Survival	c_index	0.5916	0.0322
mRNA+CNV	Concat_MLP	Survival	roc_auc	0.7155	0.0308
mRNA+CNV	Concat_MLP	Survival	c_index	0.7451	0.0458
mRNA+CNV	CNN_TwoConcat	Survival	roc_auc	0.6714	0.0311
mRNA+CNV	CNN_TwoConcat	Survival	c_index	0.6857	0.0478
mRNA+CNV	CNN_TwoGated	Survival	roc_auc	0.6575	0.0497
mRNA+CNV	CNN_TwoGated	Survival	c_index	0.6572	0.0496
mRNA+CNV	CNN_LateAvg	Survival	roc_auc	0.7269	0.0205
mRNA+CNV	CNN_LateAvg	Survival	c_index	0.7353	0.0292
mRNA+miRNA	Concat_LogisticRegression	Survival	roc_auc	0.6417	0.0564
mRNA+miRNA	Concat_LogisticRegression	Survival	c_index	0.6232	0.0797
mRNA+miRNA	Concat_RandomForest	Survival	roc_auc	0.5986	0.0491
mRNA+miRNA	Concat_RandomForest	Survival	c_index	0.598	0.0524
mRNA+miRNA	Concat_GradientBoosting	Survival	roc_auc	0.5569	0.032
mRNA+miRNA	Concat_GradientBoosting	Survival	c_index	0.5701	0.0212
mRNA+miRNA	Concat_SVC	Survival	roc_auc	0.6153	0.0507
mRNA+miRNA	Concat_SVC	Survival	c_index	0.5976	0.0834
mRNA+miRNA	Concat_KNN	Survival	roc_auc	0.5816	0.0409
mRNA+miRNA	Concat_KNN	Survival	c_index	0.5529	0.0501
mRNA+miRNA	Concat_MLP	Survival	roc_auc	0.7207	0.0657
mRNA+miRNA	Concat_MLP	Survival	c_index	0.7337	0.077
mRNA+miRNA	CNN_TwoConcat	Survival	roc_auc	0.7001	0.0352
mRNA+miRNA	CNN_TwoConcat	Survival	c_index	0.707	0.0428
mRNA+miRNA	CNN_TwoGated	Survival	roc_auc	0.6691	0.0404
mRNA+miRNA	CNN_TwoGated	Survival	c_index	0.6734	0.0598
mRNA+miRNA	CNN_LateAvg	Survival	roc_auc	0.688	0.0534
mRNA+miRNA	CNN_LateAvg	Survival	c_index	0.6712	0.0761
CNV+miRNA	Concat_LogisticRegression	Survival	roc_auc	0.6673	0.0624
CNV+miRNA	Concat_LogisticRegression	Survival	c_index	0.6402	0.0476
CNV+miRNA	Concat_RandomForest	Survival	roc_auc	0.6223	0.0651
CNV+miRNA	Concat_RandomForest	Survival	c_index	0.6226	0.0651
CNV+miRNA	Concat_GradientBoosting	Survival	roc_auc	0.5823	0.0389
CNV+miRNA	Concat_GradientBoosting	Survival	c_index	0.5684	0.0328
CNV+miRNA	Concat_SVC	Survival	roc_auc	0.636	0.0703
CNV+miRNA	Concat_SVC	Survival	c_index	0.6141	0.0621
CNV+miRNA	Concat_KNN	Survival	roc_auc	0.5477	0.0422
CNV+miRNA	Concat_KNN	Survival	c_index	0.553	0.0577
CNV+miRNA	Concat_MLP	Survival	roc_auc	0.7226	0.0654
CNV+miRNA	Concat_MLP	Survival	c_index	0.6922	0.0434
CNV+miRNA	CNN_TwoConcat	Survival	roc_auc	0.6898	0.0471
CNV+miRNA	CNN_TwoConcat	Survival	c_index	0.6538	0.0409
CNV+miRNA	CNN_TwoGated	Survival	roc_auc	0.6484	0.043
CNV+miRNA	CNN_TwoGated	Survival	c_index	0.6171	0.0699
CNV+miRNA	CNN_LateAvg	Survival	roc_auc	0.7464	0.042
CNV+miRNA	CNN_LateAvg	Survival	c_index	0.7216	0.0436
