scheme	task	metric	mean	std
Concat_LogisticRegression	PAM50	accuracy	0.9108	0.0162
Concat_LogisticRegression	PAM50	macro_f1	0.9008	0.0274
Concat_RandomForest	PAM50	accuracy	0.8965	0.0219
Concat_RandomForest	PAM50	macro_f1	0.8621	0.0584
Concat_GradientBoosting	PAM50	accuracy	0.8865	0.0249
Concat_GradientBoosting	PAM50	macro_f1	0.8564	0.0222
Concat_SVC	PAM50	accuracy	0.9168	0.012
Concat_SVC	PAM50	macro_f1	0.9125	0.0162
Concat_KNN	PAM50	accuracy	0.7951	0.0221
Concat_KNN	PAM50	macro_f1	0.7439	0.0513
Concat_MLP	PAM50	accuracy	0.8764	0.0446
Concat_MLP	PAM50	macro_f1	0.8686	0.0327
CNN_TripleConcat	PAM50	accuracy	0.8945	0.0279
CNN_TripleConcat	PAM50	macro_f1	0.8849	0.0599
CNN_TripleGated	PAM50	accuracy	0.9046	0.0154
CNN_TripleGated	PAM50	macro_f1	0.8955	0.0338
CNN_LateAvg	PAM50	accuracy	0.8925	0.0292
CNN_LateAvg	PAM50	macro_f1	0.8793	0.047
Concat_LogisticRegression	Survival	roc_auc	0.6765	0.0563
Concat_LogisticRegression	Survival	c_index	0.6657	0.0411
Concat_RandomForest	Survival	roc_auc	0.6144	0.0898
Concat_RandomForest	Survival	c_index	0.6329	0.086
Concat_GradientBoosting	Survival	roc_auc	0.5801	0.0618
Concat_GradientBoosting	Survival	c_index	0.5915	0.0493
Concat_SVC	Survival	roc_auc	0.6439	0.053
Concat_SVC	Survival	c_index	0.633	0.0372
Concat_KNN	Survival	roc_auc	0.5453	0.0481
Concat_KNN	Survival	c_index	0.5711	0.0643
Concat_MLP	Survival	roc_auc	0.7528	0.0683
Concat_MLP	Survival	c_index	0.7588	0.0492
CNN_TripleConcat	Survival	roc_auc	0.7161	0.0566
CNN_TripleConcat	Survival	c_index	0.6972	0.0464
CNN_TripleGated	Survival	roc_auc	0.7096	0.0473
CNN_TripleGated	Survival	c_index	0.7021	0.0712
CNN_LateAvg	Survival	roc_auc	0.7591	0.0619
CNN_LateAvg	Survival	c_index	0.7503	0.0525
