model	task	metric	mean	std
mRNA_ML	PAM50	accuracy	0.927	0.0217
mRNA_ML	PAM50	macro_f1	0.9184	0.0316
mRNA_MLP	PAM50	accuracy	0.9026	0.022
mRNA_MLP	PAM50	macro_f1	0.8801	0.049
mRNA_CNN	PAM50	accuracy	0.9128	0.0151
mRNA_CNN	PAM50	macro_f1	0.8808	0.0521
CNV_ML	PAM50	accuracy	0.7202	0.0377
CNV_ML	PAM50	macro_f1	0.6538	0.0347
CNV_MLP	PAM50	accuracy	0.7324	0.039
CNV_MLP	PAM50	macro_f1	0.6685	0.0673
CNV_CNN	PAM50	accuracy	0.7242	0.0398
CNV_CNN	PAM50	macro_f1	0.6667	0.0614
miRNA_ML	PAM50	accuracy	0.8418	0.0139
miRNA_ML	PAM50	macro_f1	0.8223	0.0186
miRNA_MLP	PAM50	accuracy	0.8276	0.0146
miRNA_MLP	PAM50	macro_f1	0.7797	0.0268
miRNA_CNN	PAM50	accuracy	0.8094	0.0287
miRNA_CNN	PAM50	macro_f1	0.7805	0.0432
Stacking_9	PAM50	accuracy	0.9229	0.0378
Stacking_9	PAM50	macro_f1	0.9108	0.0548
mRNA_ML	Survival	roc_auc	0.6535	0.0696
mRNA_ML	Survival	c_index	0.6201	0.0829
mRNA_MLP	Survival	roc_auc	0.7258	0.069
mRNA_MLP	Survival	c_index	0.7362	0.0756
mRNA_CNN	Survival	roc_auc	0.7122	0.0674
mRNA_CNN	Survival	c_index	0.7334	0.0645
CNV_ML	Survival	roc_auc	0.6953	0.0305
CNV_ML	Survival	c_index	0.6907	0.0575
CNV_MLP	Survival	roc_auc	0.6261	0.0116
CNV_MLP	Survival	c_index	0.5999	0.051
CNV_CNN	Survival	roc_auc	0.684	0.0357
CNV_CNN	Survival	c_index	0.6695	0.0569
miRNA_ML	Survival	roc_auc	0.611	0.058
miRNA_ML	Survival	c_index	0.5871	0.0547
miRNA_MLP	Survival	roc_auc	0.6338	0.0568
miRNA_MLP	Survival	c_index	0.6174	0.0461
miRNA_CNN	Survival	roc_auc	0.6459	0.0258
miRNA_CNN	Survival	c_index	0.6221	0.0631
Stacking_9	Survival	roc_auc	0.7469	0.0386
Stacking_9	Survival	c_index	0.7321	0.0548
