scheme	task	metric	mean	std
single_mRNA	PAM50	accuracy	0.9128	0.0151
single_mRNA	PAM50	macro_f1	0.8808	0.0521
single_CNV	PAM50	accuracy	0.7242	0.0398
single_CNV	PAM50	macro_f1	0.6667	0.0614
single_miRNA	PAM50	accuracy	0.8094	0.0287
single_miRNA	PAM50	macro_f1	0.7805	0.0432
triple_concat	PAM50	accuracy	0.8965	0.0256
triple_concat	PAM50	macro_f1	0.8881	0.0243
triple_gated	PAM50	accuracy	0.9046	0.0154
triple_gated	PAM50	macro_f1	0.8955	0.0338
mrna_mirna_concat	PAM50	accuracy	0.8762	0.0151
mrna_mirna_concat	PAM50	macro_f1	0.8493	0.038
late_fusion_avg	PAM50	accuracy	0.8925	0.0292
late_fusion_avg	PAM50	macro_f1	0.8793	0.047
single_mRNA	Survival	roc_auc	0.7122	0.0674
single_mRNA	Survival	c_index	0.7334	0.0645
single_CNV	Survival	roc_auc	0.684	0.0357
single_CNV	Survival	c_index	0.6695	0.0569
single_miRNA	Survival	roc_auc	0.6459	0.0258
single_miRNA	Survival	c_index	0.6221	0.0631
triple_concat	Survival	roc_auc	0.7163	0.0476
triple_concat	Survival	c_index	0.6973	0.0478
triple_gated	Survival	roc_auc	0.7096	0.0473
triple_gated	Survival	c_index	0.7021	0.0712
mrna_mirna_concat	Survival	roc_auc	0.7209	0.0727
mrna_mirna_concat	Survival	c_index	0.7415	0.0824
late_fusion_avg	Survival	roc_auc	0.7591	0.0619
late_fusion_avg	Survival	c_index	0.7503	0.0525
