pathway	gene	source_database	source_set_ID	citation
Hypoxia	VEGFA	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	SLC2A1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	LDHA	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	PGK1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	ENO1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	CA9	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	BNIP3	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	NDRG1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	ADM	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	ALDOA	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	GAPDH	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	TPI1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	P4HA1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	EGLN1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	EGLN3	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	LOX	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	PDK1	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	ANGPTL4	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	HILPDA	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	PFKL	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	HIF1A	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
Hypoxia	HK2	Manual curated marker signature	NA	Compact canonical stress/adaptive-reprogramming marker signature for exploratory screening; see Supplementary S16.
